Frequency,Call sign,Branding,Format,Owner
88.1 FM,CKDU-FM,CKDU 88.1 FM,campus radio,CKDU-FM Society
89.9 FM,CHNS-FM,89.9 The Wave,classic hits,Maritime Broadcasting System
90.5 FM,CBHA-FM,CBC Radio One,public news / talk,Canadian Broadcasting Corporation
91.5 FM,CBAX-FM,Ici Musique,public music,Canadian Broadcasting Corporation
92.3 FM,CBAF-FM-5,Ici Radio-Canada Première,public news / talk,Canadian Broadcasting Corporation
92.9 FM,CFLT-FM,Jack 92.9,adult hits,Rogers Communications
93.9 FM,CJLU-FM,Harvesters FM,Christian,International Harvesters for Christ Evangelistic Association
95.7 FM,CJNI-FM,News 95.7,news / talk / sports,Rogers Communications
96.5 FM,CKUL-FM,96.5 The Breeze,adult contemporary,Stingray Group
98.5 FM,CKRH-FM,Radio Halifax Métro,community radio,Coopérative Radio-Halifax-Métro limitée
99.1 FM,CHHU-FM,,multicultural,Radio Moyen-Orient
99.3 FM,CHSB-FM,Hilltop FM,Christian,Bedford Baptist Church
100.1 FM,CIOO-FM,C100,hot adult contemporary,Bell Media Radio
101.3 FM,CJCH-FM,101.3 Virgin Radio,contemporary hit radio,Bell Media Radio
101.9 FM,CHFX-FM,FX101.9,country music,Maritime Broadcasting System
102.7 FM,CBH-FM,CBC Music,adult music format with a variety of genres,Canadian Broadcasting Corporation
103.5 FM,CKHZ-FM,Hot Country 103.5,country music,Evanov Communications
104.3 FM,CFRQ-FM,Q104,active rock,Stingray Group
105.1 FM,CKHY-FM,Jewel 105,Soft adult contemporary,Evanov Communications
105.9 FM,CFEP-FM,Seaside FM,community radio,Seaside Broadcasting
