Date,Co-Hosts,Guests/Segments
July 1,Regis Philbin & Kelly Ripa,"Montgomery Gentry , Summer Fun Week"
July 2,Regis Philbin & Kelly Ripa,"Sigourney Weaver , Summer Fun Week"
July 3,Regis Philbin & Kelly Ripa,"Vanessa Hudgens , Luke Perry , Summer Fun Week"
July 4,Regis Philbin & Kelly Ripa,"Billy Ray Cyrus , Oscar De La Hoya , Summer Fun Week , Grilling with the Stars"
July 7,Regis Philbin & Kelly Ripa,"Ben Kingsley , Kevin Nealon , Demi Lovato"
July 8,Regis Philbin & Kelly Ripa,"Kyra Sedgwick , Bernadette Peters"
July 9,Regis Philbin & Kelly Ripa,"LIVE 's High Heel-a-thon in Central Park , Brendan Fraser"
July 10,Regis Philbin & Kelly Ripa,"Josh Hartnett , winner of Hell 's Kitchen"
July 11,Regis Philbin & Kelly Ripa,"Gabrielle Union , Selma Blair , Colbie Caillat , Grilling with the Stars"
July 14,Regis Philbin & Kelly Ripa,"James Denton , David Ortiz , Monumental Makeover Week"
July 15,Regis Philbin & Kelly Ripa,"Colin Firth , Monumental Makeover Week"
July 16,Regis Philbin & Kelly Ripa,"Meryl Streep , Heidi Klum , Monumental Makeover Week"
July 17,Regis Philbin & Kelly Ripa,"Maggie Gyllenhaal , Randy Travis , Monumental Makeover Week"
July 18,Regis Philbin & Kelly Ripa,"Pierce Brosnan , Monumental Makeover Week"
July 21,Regis Philbin & Kelly Ripa,"Nick Lachey , Miss Universe 2008 , Phil Mickelson"
July 22,Regis Philbin & Kelly Ripa,"Will Ferrell , Caroline Rhea"
July 23,Regis Philbin & Kelly Ripa,"Amanda Peet , Jennifer Hudson"
July 24,Regis Philbin & Kelly Ripa,"Aaron Eckhart , Jim Cramer"
July 25,Regis Philbin & Kelly Ripa,"Kasey Kahne , Grilling with the Stars"
July 28,Regis Philbin & Kelly Ripa,"Carson Kressley , Amber Tamblyn , Akon & Colby O'Donis"
