Model name,First flight,Number built,Type
Fairchild-Dornier 728JET,2002 ( plan . ),0,Prototype commuter jet
Fairchild-Dornier 428JET,2001 ( plan . ),0,Cancelled regional jet
Fairchild-Dornier 328JET,1991,110,commuter jet
Fairchild T-46,1985,3,Trainer
Fairchild Republic A-10 Thunderbolt II,1972,716,Close air support
Fairchild AU-23 Peacemaker,1971,15,Counter-insurgency aircraft
Fairchild Swearingen Metroliner / C-26,1968,600,Turboprop airliner
Fairchild AC-119,1968,52,Ground-attack conversion of C-119
Fairchild-Hiller FH-1100,1966,253,Turbine helicopter
Fairchild-Swearingen Merlin,1965,,Turboprop corporate
Fairchild 228,1968,2,Regional jet airliner
Fairchild VZ-5,1959,1,Experimental VTOL
"Fairchild Hiller F-27 , FH-227",1958,206,Turboprop commuter airliner
Fairchild XC-120 Packplane,1950,1,Military transport
Fairchild C-123 Provider,1949,307,Military transport
Fairchild XNQ,1949,2,Trainer
Fairchild C-119 Flying Boxcar,1947,"1,183",Military transport
Fairchild M-84,1945,1,Four-Five place family aircraft
Fairchild C-82 Packet,1944,223,Military transport
Fairchild BQ-3,1944,2,Assault Drone
