Date,Co-Hosts,Guests/Segments
October 3,Regis Philbin & Kelly Ripa,"Tim McGraw , Dana Delany"
October 4,Regis Philbin & Kelly Ripa,"Hugh Jackman , Kaley Cuoco , Scotty McCreery"
October 5,Regis Philbin & Kelly Ripa,"Simon Cowell , Sugar Ray Leonard , Dr. Greg Yapalater"
October 6,Regis Philbin & Kelly Ripa,"George Clooney , Rachel Bilson"
October 7,Kelly Ripa & Carson Kressley,"Madeleine Stowe , Emilio Estevez , Martin Sheen"
October 10,Kelly Ripa & Larry the Cable Guy,"Evan Rachel Wood , The Situation , Co-Host Cook-Off Week"
October 11,Kelly Ripa & Katie Couric,"Dylan McDermott , Anna Torv , Co-Host Cook-Off Week"
October 12,Kelly Ripa & Michael Strahan,"Chace Crawford , Jewel , Co-Host Cook-Off Week"
October 13,Kelly Ripa & Jerry O'Connell,"Taylor Swift , Lauren Alaina , Co-Host Cook-Off Week"
October 14,Kelly Ripa & Mark Feuerstein,"David Boreanaz , Zachary Quinto , Co-Host Cook-Off Week"
October 17,Regis Philbin & Kelly Ripa,"Simon Baker , Jessica Capshaw"
October 18,Regis Philbin & Kelly Ripa,"Kevin Spacey , Disney FamilyFun Magazine : Top Toys"
October 19,Regis Philbin & Kelly Ripa,"Ricky Gervais , Penn Badgley"
October 20,Regis Philbin & Kelly Ripa,"Kelsey Grammer , Carrot Top"
October 21,Kelly Ripa & Josh Groban,"Orlando Bloom , Ginnifer Goodwin , Largest Pumpkin"
October 24,Regis Philbin & Kelly Ripa,"Matthew Broderick , LeAnn Rimes , Halloween Flashback"
October 25,Regis Philbin & Kelly Ripa,"Téa Leoni , Halloween Creatures"
October 26,Regis Philbin & Kelly Ripa,"Salma Hayek , Kids of LIVE Halloween Fashion Show"
October 27,Regis Philbin & Kelly Ripa,"Eva Longoria , Nicole Polizzi"
October 28,Regis Philbin & Kelly Ripa,"Nightmares Fear Factory , Judge Judy"
