Round,Pick,Player,Recruited from,League,Club
1,1,Daniel Harris,North Melbourne,AFL,Gold Coast
1,2,Michael Coad,Sturt,SANFL,Gold Coast
1,3,Sam Iles,Box Hill Hawks,TAC Cup,Gold Coast
1,4,Roland Ah Chee,Norwood,SANFL,Gold Coast
1,5,Danny Stanley,Collingwood,AFL,Gold Coast
1,6,Michael Newton,Melbourne,AFL,Melbourne
1,7,Robert Hicks,Calder Cannons,TAC Cup,Richmond
1,8,Michael Barlow,Werribee,VFL,Fremantle
1,9,Majak Daw,Western Jets,TAC Cup,North Melbourne
1,10,Henry Playfair,Sydney Swans,AFL,Sydney Swans
1,11,Lewis Broome,Claremont,WAFL,West Coast
1,12,Cameron Hitchcock,Glenelg,SANFL,Port Adelaide
1,13,Wayde Skipper,Western Bulldogs,AFL,Hawthorn
1,14,Taite Silverlock,West Adelaide,SANFL,Essendon
1,15,Jaryd Cachia,Northern Knights,TAC Cup,Carlton
1,16,Mitchell Golby,Gippsland Power,TAC Cup,Brisbane Lions
1,17,Luke Thompson,Geelong Falcons,TAC Cup,Adelaide
1,18,Tom Hunter,Calder Cannons,TAC Cup,Collingwood
1,19,Brodie Moles,Geelong,AFL,Western Bulldogs
1,20,Mark Hutchings,East Perth,WAFL,St Kilda
