Name,Promotion,Years active,Country
American Starship ( Starship Coyote & Starship Eagle ),Jim Crockett Promotions,1985,United States
The A-Team ( The Atomic Kid Buddy Wayne and the Frog ),All Star Wrestling,1987-1988,Canada
The Assassins ( original ) ( Assassin # 1 & Assassin # 2 ),"Florida Championship Wrestling , Georgia Championship Wrestling , National Wrestling Alliance",1961-1983,United States
The Assassins ( Assassin # 1 and Assassin # 2 ),World Wrestling Association,1966-1967,United States
The Blackhearts ( Destruction and Apocalypse ),"All-Japan Pro Wrestling , IWA Japan , Stampede Wrestling","1989-1991 ; 1993 , 1996-1997",United States
The Blue Infernos ( Blue Inferno I & Blue Inferno II ),Continental Wrestling Association,1966-1967,United States
The Colossal Kongs ( Awesome Kong and Krusher Kong ),"Global Wrestling Federation , United States Wrestling Association , World Championship Wrestling",1991-1993,United States
The Columbian Tigers ( Columbian Tiger I & Columbian Tiger II ),National Wrestling Alliance,1974,United States
Los Conquistadores ( original ) ( Conquistador I & Conquistador II ),World Wrestling Federation,1987-1989,United States
Los Conquistadores ( Conquistador I & Conquistador II ),World Wrestling Federation,2000,United States
Los Conquistadores ( Conquistador I & Conquistador II ),World Wrestling Federation,2003,United States
The Council of Trabajadores,Philippine Wrestling Revolution,2015-,Philippines
The Cruel Connection ( Cruel Connection I & Cruel Connection II ),Jim Crockett Promotions,1987,United States
The Crusaders ( Crusader I & Crusader II ),Maple Leaf Wrestling,1973-1974,Canada
The Cyberpunks ( Ice & Fire ),United States Wrestling Association,1996,United States
The Ding Dongs ( Ding Dong I & Ding Dong II ),World Championship Wrestling,1989,United States
Doom ( Ron Simmons and Butch Reed ),World Championship Wrestling,1989-1990,United States
The Executioners ( original ) ( Executioner # 1 and Executioner # 2 ),World Wide Wrestling Federation,1976,United States
The Executioners ( Pain and Agony ),World Wrestling Federation,1992-1994,United States
The Grapplers ( Grappler # 1 and Grappler # 2 ),Continental Wrestling Association,1982-1984,United States
