Year,Title,Role
1985,No Surrender,Ulster Boy
1986,Link,Unknown
1994,Priest,Father Greg Pilkington
1997,The Wings of the Dove,Merton Densher
1998,Shot Through the Heart,Vlado Selimović
1999,Venice Project,Count Jacko/Count Giaccomo
1999,Siam Sunset,Perry
2000,Best,Denis Law
2000,Pandaemonium,Samuel Taylor Coleridge
2002,Hart 's War,Capt . Peter A. Ross
2003,Beyond Borders,Henry Bauford
2003,Blind Flight,John McCarthy
2004,The Forgotten,"Mr. Shineer , A Friendly Man"
2004,The Chronicles of Riddick,Purifier
2005,12 and Holding,Mr. Carges
2005,Batman Begins,Dr. Thomas Wayne
2006,A Through M,The Voice of the Party
2006,Find Me Guilty,Sean Kierney
2006,The Namesake,Mr. Lawson
2007,Broken Thread,Ram
