Medal,Name,Games,Sport,Event
Silver,Mohammed Gammoudi,1964 Tokyo,Athletics,"Men 's 10,000 m"
Bronze,Habib Galhia,1964 Tokyo,Boxing,Men 's light welterweight
Gold,Mohammed Gammoudi,1968 Mexico City,Athletics,Men 's 5000 m
Bronze,Mohammed Gammoudi,1968 Mexico City,Athletics,"Men 's 10,000 m"
Silver,Mohammed Gammoudi,1972 Munich,Athletics,Men 's 5000 m
Bronze,Fethi Missaoui,1996 Atlanta,Boxing,Men 's light welterweight
Gold,Oussama Mellouli,2008 Beijing,Swimming,Men 's 1500 m freestyle
Gold,Oussama Mellouli,2012 London,Swimming,Men 's 10km marathon
Gold,Habiba Ghribi,2012 London,Athletics,Women 's 3000 m steeplechase
Bronze,Oussama Mellouli,2012 London,Swimming,Men 's 1500 m freestyle
Bronze,Inès Boubakri,2016 Rio de Janeiro,Fencing,Women 's Foil
Bronze,Oussama Oueslati,2016 Rio de Janeiro,Taekwondo,Men 's 80 kg
Bronze,Marwa Amri,2016 Rio de Janeiro,Wrestling,Women 's freestyle 58 kg
