Year,Origin,Artist,Song,Translation
2004,Albania,Stine,Lady Lady,-
2005,Albania,Alban Skënderaj,Vetëm ty,Only you
2006,Albania & Kosovo,Alban Skënderaj & Kthjellu,Diçka,Something
2007,Albania,Greta Koçi,Sa më lodhe,You annoyed me
2008,Albania,Besa Kokëdhima,Engjëjt vrasin njëlloj,Angels kill the same
2009,Kosovo,Linda Halimi,Ëndërroj,I dream
2010,Albania,Eneda Tarifa,Me veten,With myself
2011,Albania,Elvana Gjata,Me ty,With you
2012,Albania,Elhaida Dani,S'je më,You 're not anymore
2013,Albania,Samanta Karavello,Loti i fundit,The last teardrop
2014,Albania,Soni Malaj,Me të jeton,It lives with him
2015,Kosovo,"Ermal Fejzullahu , Lumi B & Ledri Vula",Shko,Go
2016,Albania & Kosovo,Era Istrefi,Bonbon,Candy
