No,Race,Pole position,Most laps led,Winning driver,Winning manufacturer
1,Skoal Bandit Copper World Classic,"Ron Hornaday , Jr","Ron Hornaday , Jr",Mike Skinner,Chevrolet
2,Racing Champions 200,Mike Skinner,"Ron Hornaday , Jr","Ron Hornaday , Jr",Chevrolet
3,Scott Irvin Chevrolet/Craftsman 200,Mike Skinner,Mike Skinner,Ken Schrader,Chevrolet
4,Ford Credit 125,Mike Skinner,"Ron Hornaday , Jr","Ron Hornaday , Jr",Chevrolet
5,Maxx Race Cards 200,Mike Skinner,Mike Skinner,Mike Skinner,Chevrolet
6,Jerr Dan/Nelson 150,Mike Skinner Steve Portenga *,"Ron Hornaday , Jr","Ron Hornaday , Jr",Chevrolet
7,Western Auto 200,"Ron Hornaday , Jr. **",Mike Skinner,Mike Skinner,Chevrolet
8,Ford Credit 200,Mike Skinner Jack Sprague *,Mike Skinner,Mike Skinner,Chevrolet
9,Pizza Plus 150,Mike Skinner,Sammy Swindell,Joe Ruttman,Ford
10,Sears Auto Center 125,Mike Skinner,Mike Skinner,Mike Skinner,Chevrolet
11,Total Petroleum 200,"Ron Hornaday , Jr","Ron Hornaday , Jr",Butch Miller,Ford
12,Heartland Tailgate 175,"Ron Hornaday , Jr","Ron Hornaday , Jr","Ron Hornaday , Jr",Chevrolet
13,Action Packed Racing Cards 150,Mike Skinner,Mike Skinner,Mike Skinner,Chevrolet
14,Stevens Beil/Genuine Car Parts 150,Joe Ruttman,"Ron Hornaday , Jr","Ron Hornaday , Jr",Chevrolet
15,Fas Mart Supertruck Shootout,Terry Labonte,Geoff Bodine,Terry Labonte,Chevrolet
16,Goody 's 150,Mike Skinner **,Mike Skinner,Joe Ruttman,Ford
17,Lowe 's 150,Mike Skinner,Geoff Bodine,Mike Bliss,Ford
18,Subway 100,"Ron Hornaday , Jr","Ron Hornaday , Jr","Ron Hornaday , Jr",Chevrolet
19,Spears Manufacturing 200,Bill Sedgwick,"Ron Hornaday , Jr",Mike Skinner,Chevrolet
20,GM Goodwrench/Delco Battery 200,Jack Sprague,Mike Skinner,Mike Skinner,Chevrolet
