Name,Party,Associated with,Period
Johan Poulsen,Union Party,Venstre,1953-1964
Peter Mohr Dam,Social Democratic Party,Social Democrats,1953-1957
Hákun Djurhuus,People 's Party,Conservative People 's Party,1957-1960
Johan Nielsen,Social Democratic Party,Social Democrats,1960-1964
Peter Mohr Dam,Social Democratic Party,Social Democrats,1964-1967
Poul Andreasen,People 's Party,Conservative People 's Party,1964-1968
Johan Nielsen,Social Democratic Party,Social Democrats,1967-1984
Hákun Djurhuus,People 's Party,Conservative People 's Party,1968-1973
Erlendur Patursson,Republic,Not associated with any Danish party,1973-1977
Pauli Ellefsen,Union Party,Venstre,1977-1987
Jacob Lindenskov,Social Democratic Party,Social Democrats,1979-1984
Johannes Martin Olsen,Union Party,Venstre,1979-1998
Óli Breckmann,People 's Party,Conservative People 's Party,1984-2001
Atli Dam,Social Democratic Party,Social Democrats,1987-1988
Jacob Lindenskov,Social Democratic Party,Social Democrats,1987-1988
Pauli Ellefsen,Union Party,Venstre,1988-1990
Atli Dam,Social Democratic Party,Social Democrats,1990-1994
Jacob Lindenskov,Social Democratic Party,Social Democrats,1990-1993
Edmund Joensen,Union Party,Venstre,1994-1998
Jóannes Eidesgaard,Social Democratic Party,Social Democrats,1998-2001
