Year,Athlete,Country/State or Province,Time
1897,"McDermott , John J. John J. McDermott",United States United States ( NY ),2:55:10
1898,"MacDonald , Ronald J. Ronald J. MacDonald",Canada Canada ( NS ),2:42:00
1899,"Brignolia , Lawrence Lawrence Brignolia",United States United States ( MA ),2:54:38
1900,"Caffery , John John Jack Caffery",Canada Canada ( ON ),2:39:44
1901,"Caffery , John John Jack Caffery",Canada Canada ( ON ),2:29:23
1902,"Mellor , Sammy Sammy Mellor",United States United States ( NY ),2:43:12
1903,"Lorden , John John Lorden",United States United States ( MA ),2:41:29
1904,"Spring , Michael Michael Spring",United States United States ( NY ),2:38:04
1905,"Lorz , Frederick Frederick Lorz",United States United States ( NY ),2:38:25
1906,"Ford , Tim Tim Ford",United States United States ( MA ),2:45:45
1907,"Longboat , Thomas Thomas Longboat",Canada Canada ( ON ),2:24:24
1908,"Morrissey , Thomas Thomas Morrissey",United States United States ( NY ),2:25:43
1909,"Renaud , Henri Henri Renaud",United States United States ( NH ),2:53:36
1910,"Cameron , Fred Fred Cameron",Canada Canada ( NS ),2:28:52
1911,"DeMar , Clarence Clarence DeMar",United States United States ( MA ),2:21:39
1912,"Ryan , Michael Michael J. Ryan",United States United States ( NY ),2:21:18
1913,"Carlson , Fritz Fritz Carlson",United States United States ( MN ),2:25:14
1914,"Duffy , James James Duffy",Canada Canada ( ON ),2:25:14
1915,"Fabre , Édouard Édouard Fabre",Canada Canada ( PQ ),2:31:41
1916,"Roth , Arthur Arthur Roth",United States United States ( MA ),2:27:16
