Medal,Name,Sport,Event
Gold,Vladimir Melanin,Biathlon,Men 's 20 km
Gold,Klavdiya Boyarskikh,Cross-country skiing,Women 's 5 km
Gold,Klavdiya Boyarskikh,Cross-country skiing,Women 's 10 km
Gold,Alevtina Kolchina Yevdokiya Mekshilo Klavdiya Boyarskikh,Cross-country skiing,Women 's 3 x 5 km relay
Gold,Liudmila Belousova Oleg Protopopov,Figure skating,Pairs
Gold,Soviet Union men 's national ice hockey team Viktor Konovalenko Boris Zaytsev Vitaly Davydov Eduard Ivanov Aleksandr Ragulin Viktor Kuzkin Konstantin Loktev Aleksandr Almetov Veniamin Aleksandrov Yevgeny Mayorov Vyacheslav Starshinov Boris Mayorov Leonid Volkov Viktor Yakushev Anatoly Firsov Oleg Zaytsev Stanislav Petukhov,Ice hockey,Men 's competition
Gold,Ants Antson,Speed skating,Men 's 1500 m
Gold,Lidiya Skoblikova,Speed skating,Women 's 500 m
Gold,Lidiya Skoblikova,Speed skating,Women 's 1000 m
Gold,Lidiya Skoblikova,Speed skating,Women 's 1500 m
Gold,Lidiya Skoblikova,Speed skating,Women 's 3000 m
Silver,Aleksandr Privalov,Biathlon,Men 's 20 km
Silver,Yevdokiya Mekshilo,Cross-country skiing,Women 's 10 km
Silver,Nikolay Kiselyov,Nordic combined,Men 's individual
Silver,Vladimir Orlov,Speed skating,Men 's 500 m ( tie )
Silver,Yevgeny Grishin,Speed skating,Men 's 500 m ( tie )
Silver,Irina Yegorova,Speed skating,Women 's 500 m
Silver,Irina Yegorova,Speed skating,Women 's 1000 m
Silver,Valentina Stenina,Speed skating,Women 's 3000 m
Bronze,Igor Voronchikhin,Cross-country skiing,Men 's 30 km
