#,Name,Pos,College,GP,Seasons
43,Ed Kahn,G,North Carolina,24,1935-37
72,Ndukwe Kalu,DE,Rice,40,1998-00
66,Carl Kammerer,DE,San Francisco State,95,1963-69
-,Jim Kamp,OL,Oklahoma City,10,1933
40,Rick Kane,RB,Oregon,12,1984
20,George Karamatic,RB,Gonzaga,10,1938
63,Emil Karas,LB,Dayton,11,1959
29,Jim Karcher,G,Ohio State,42,1936-39
70,Lou Karras,OT,Purdue,26,1950-52
58,Mike Katrishen,G,Alabama,23,1948-49
55,Mel Kaufman,LB,Cal . Poly,91,1981-88
39,Ed Kawal,OL,Illinois,9,1937
73,Frank Kearse,DE,Alabama A & M,19,2014-15
59,Chris Keating,LB,Maine,10,1985
47,Jack Keenan,G,South Carolina,13,1944-45
53,Bryan Kehl,LB,Brigham Young,10,2012-13
61,Rick Kehr,G,Carthage,5,1987
51,Gorden Kelley,LB,Georgia,25,1962-63
32,Robert Kelley,RB,Tulane,24,2016-18
75,John Kelly,OT,Florida A & M,16,1966-67
