Team,Head coach,Captain,Shirt sponsor
Chicago Fire,Frank Klopas,Logan Pause,Quaker
Chivas USA,José Luis Real,Dan Kennedy,Corona
Colorado Rapids,Óscar Pareja,Drew Moor,n/a
Columbus Crew,Brian Bliss,Federico Higuaín,Barbasol
D.C. United,Ben Olsen,Dwayne De Rosario,Volkswagen
FC Dallas,Schellas Hyndman,David Ferreira,AdvoCare
Houston Dynamo,Dominic Kinnear,Brad Davis,n/a
Los Angeles Galaxy,Bruce Arena,Robbie Keane,Herbalife
Montreal Impact,Marco Schällibaum,Davy Arnaud,Bank of Montreal
New England Revolution,Jay Heaps,José Gonçalves,UnitedHealthcare
New York Red Bulls,Mike Petke,Thierry Henry,Red Bull
Philadelphia Union,John Hackworth,Brian Carroll,Bimbo
Portland Timbers,Caleb Porter,Will Johnson,Alaska Airlines
Real Salt Lake,Jason Kreis,Kyle Beckerman,XanGo
San Jose Earthquakes,Mark Watson,Ramiro Corrales,n/a
Seattle Sounders FC,Sigi Schmid,Mauro Rosales,Xbox
Sporting Kansas City,Peter Vermes,Jimmy Nielsen,Ivy Funds
Toronto FC,Ryan Nelsen,Steven Caldwell,Bank of Montreal
Vancouver Whitecaps FC,Martin Rennie,Jay DeMerit,Bell Canada
