Pos,No,Driver,Constructor,Time,Gap
1,2,Rubens Barrichello,Ferrari,1:34.012,-
2,6,Kimi Räikkönen,McLaren - Mercedes,1:34.178,+0.166
3,9,Jenson Button,BAR - Honda,1:34.295,+0.283
4,12,Felipe Massa,Sauber - Petronas,1:34.759,+0.747
5,4,Ralf Schumacher,Williams - BMW,1:34.891,+0.879
6,8,Fernando Alonso,Renault,1:34.917,+0.905
7,11,Giancarlo Fisichella,Sauber - Petronas,1:34.951,+0.939
8,17,Olivier Panis,Toyota,1:34.975,+0.963
9,10,Takuma Sato,BAR - Honda,1:34.993,+0.981
10,5,David Coulthard,McLaren - Mercedes,1:35.029,+1.017
11,3,Juan Pablo Montoya,Williams - BMW,1:35.245,+1.233
12,14,Mark Webber,Jaguar - Cosworth,1:35.286,+1.274
13,7,Jacques Villeneuve,Renault,1:35.384,+1.372
14,16,Ricardo Zonta,Toyota,1:35.410,+1.398
15,18,Nick Heidfeld,Jordan - Ford,1:36.507,+2.495
16,15,Christian Klien,Jaguar - Cosworth,1:36.535,+2.523
17,19,Timo Glock,Jordan - Ford,1:37.140,+3.128
18,21,Zsolt Baumgartner,Minardi - Cosworth,1:40.240,+6.228
19,20,Gianmaria Bruni,Minardi - Cosworth,no time,no time
20,1,Michael Schumacher,Ferrari,no time,no time
