Title,Publisher,Release Date,CERO
Donkey Kong 64,Nintendo,"April 2 , 2015",A
Super Mario 64,Nintendo,"April 8 , 2015",A
Mario Story,Nintendo,"July 15 , 2015",A
Hoshi no Kirby 64,Nintendo,"August 19 , 2015",A
Mario Golf 64,Nintendo,"September 2 , 2015",A
Zelda no Densetsu : Toki no Okarina,Nintendo,"December 22 , 2015",A
Mario Kart 64,Nintendo,"January 6 , 2016",A
1080° Snowboarding,Nintendo,"January 20 , 2016",A
Yoshi 's Story,Nintendo,"February 17 , 2016",A
Mario Party 2,Nintendo,"March 30 , 2016",A
Pokémon Snap,Nintendo,"April 6 , 2016",A
Tsumi to Batsu : Hoshi no Keishōsha,Nintendo,"April 27 , 2016",B
Custom Robo V2,Nintendo,"June 8 , 2016",A
Zelda no Densetsu : Mujura no Kamen,Nintendo,"June 29 , 2016",A
Wave Race 64,Nintendo,"July 13 , 2016",A
Mario Tennis 64,Nintendo,"July 20 , 2016",A
Star Fox 64,Nintendo,"August 31 , 2016",A
F-Zero X,Nintendo,"November 2 , 2016",A
Excitebike 64,Nintendo,"June 21 , 2017",A
Baku Bomberman,Konami,"June 28 , 2017",A
