System,Locale,Major city ( s )
Allegany County Transit,Allegany County,Cumberland
Annapolis Transit,Anne Arundel County,Annapolis
Cecil Transit,Cecil County,Elkton
Harford Transit,Harford County,Bel Air
Metrobus,Washington Metropolitan Area,"Washington , D.C"
MTA Maryland,Baltimore-Washington Metropolitan Area,Baltimore
Ocean City Transportation,Worcester County,Ocean City
RTA Central Maryland,"Anne Arundel , Howard , and Prince George 's counties","Columbia , Laurel"
Ride On,Montgomery County,
Shore Transit,"Somerset , Wicomico and Worcester counties",Salisbury
TheBus,Prince George 's County,
TransIT,Frederick County,Frederick
Washington County Transit,Washington County,Hagerstown
