Year,Film,Director,Job
2001,America 's Sweethearts,Joe Roth,assistant costume designer
1999,The Haunting,Jan de Bont,costume supervisor
1999,True Crime,Clint Eastwood,costume supervisor
1997,Absolute Power,Clint Eastwood,costume supervisor
1996,Mulholland Falls,Lee Tamahori,costume supervisor
1995,Showgirls,Paul Verhoeven,costume supervisor
1994,Exit to Eden,Garry Marshall,wardrobe supervisor
1994,Intersection,Mark Rydell,costume supervisor : Los Angeles
1992,Chaplin,Richard Attenborough,"costume supervisor : women , Los Angeles"
1992,Death Becomes Her,Robert Zemeckis,costumer
1992,Basic Instinct,Paul Verhoeven,"costume supervisor : women , Los Angeles"
1991,Dead Again,Kenneth Branagh,costumer
1991,Defending Your Life,Albert Brooks,set costumer
1990,The Rookie,Clint Eastwood,costume supervisor : women
1989,Pink Cadillac,Buddy Van Horn,costume supervisor : women
1989,Troop Beverly Hills,Jeff Kanew,costumer
1988,The Dead Pool,Buddy Van Horn,costume supervisor : women
1988,Bird,Clint Eastwood,costume supervisor
1986,Heartbreak Ridge,Clint Eastwood,wardrobe : women ; as Deborah Ann Hopper
1986,Ratboy,Sondra Locke,wardrobe : women ; as Deborah Ann Hopper
