Year,Champions ( number of titles ),Runners-up,Third place,Leading goalscorer,Goals
1948-49,Fredrikstad ( 3 ),Odd,none,Arvid Havnås ( Sandefjord BK ),12
1949-50,Fram Larvik ( 1 ),Fredrikstad,none,Reidar Dørum ( Ørn-Horten ),13
1950-51,Fredrikstad ( 4 ),Odd,none,John Sveinsson ( Lyn ),19
1951-52,Fredrikstad ( 5 ),Brann,none,Jan Arne Tangen ( Strømmen ),15
1952-53,Fram Larvik ( 2 ),Skeid,none,Gunnar Thoresen ( Larvik Turn ) Per Jacobsen ( Odd ),15
1953-54,Fredrikstad ( 6 ),Skeid,none,Gunnar Thoresen ( Larvik Turn ),15
1954-55,Larvik Turn ( 1 ),Fredrikstad,none,Harald Hennum ( Skeid ),13
1955-56,Larvik Turn ( 2 ),Fredrikstad,none,Willy Fossli ( Asker ),17
1956-57,Fredrikstad ( 7 ),Odd,none,Per Kristoffersen ( Fredrikstad ),15
1957-58,Viking ( 1 ),Skeid,none,Harald Hennum ( Skeid ),17
1958-59,Lillestrøm ( 1 ),Fredrikstad,none,Reidar Sundby ( Larvik Turn ),13
1959-60,Fredrikstad ( 8 ),Lillestrøm,Eik-Tønsberg,Per Kristoffersen ( Fredrikstad ),13
1960-61,Fredrikstad ( 9 ),Eik-Tønsberg,Vålerenga,Per Kristoffersen ( Fredrikstad ),15
1961-62,Brann ( 1 ),Steinkjer,Fredrikstad,Rolf Birger Pedersen ( Brann ),26
