Medal,Name,Sport,Event
Gold,Andy Murray,Tennis,Men 's singles
Gold,Chris Hoy,Track cycling,Men 's team sprint
Gold,Chris Hoy,Track cycling,Men 's keirin
Gold,Heather Stanning,Rowing,Women 's coxless pair
Gold,Katherine Grainger,Rowing,Women 's double sculls
Gold,Scott Brash,Equestrian,Team jumping
Gold,Tim Baillie,Canoe slalom,Men 's C-2 team
Silver,Andy Murray,Tennis,Mixed doubles
Silver,David Florence,Canoe slalom,Men 's C-2 team
Silver,Luke Patience,Sailing,Men 's 470
Silver,Michael Jamieson,Swimming,Men 's 200 metres breaststroke
Bronze,Daniel Purvis,Artistic gymnastics,Men 's team all-round
Bronze,Laura Bartlett,Field hockey,Women 's tournament
Bronze,Emily Maguire,Field hockey,Women 's tournament
