Club,Home city,Stadium,Finishing position last season,First season in division,First season of current spell in division
Atlético Baleares,Palma,Son Malferit,1st in group 3,1977-78,2010-11
Atlético Madrid B,Madrid,Cerro del Espino,3rd,1992-93,2017-18
Celta Vigo B,Vigo,Barreiro,16th,1992-93,2013-14
Coruxo,Vigo,O Vao,10th,2010-11,2010-11
Getafe B,Getafe,Ciudad Deportiva,1st in Tercera División group 7,2010-11,2019-20
Ibiza,Ibiza,Municipal de Can Misses,6th in group 4,2018-19,2018-19
Internacional,Madrid,Polideportivo,14th,2018-19,2018-19
Langreo,Langreo,Ganzábal,9th in group 2,1977-78,2018-19
Las Palmas Atlético,Las Palmas,Anexo Gran Canaria,15th,1977-78,2017-18
Las Rozas,Las Rozas,Navalcarbón,2nd in Tercera División group 7,2019-20,2019-20
Marino Luanco,Luanco,Miramar,2nd in Tercera División group 2,1996-97,2019-20
Oviedo B,Oviedo,El Requexón,5th in group 2,1988-89,2018-19
Peña Deportiva,Santa Eulària des Riu,Municipal de Santa Eulària,1st in Tercera División group 11,1993-94,2019-20
Pontevedra,Pontevedra,Pasarón,6th,1977-78,2015-16
Racing Ferrol,Ferrol,A Malata,1st in Tercera División group 1,1977-78,2019-20
Rayo Majadahonda,Majadahonda,Cerro del Espino,19th in Segunda División,1997-98,2019-20
Real Madrid Castilla,Madrid,Alfredo Di Stéfano,4th,1977-78,2014-15
San Sebastián de los Reyes,San Sebastián de los Reyes,Nuevo Matapiñonera,8th,1987-88,2016-17
Sporting Gijón B,Gijón,Mareo,11th in group 2,1979-80,2017-18
UD Melilla,Melilla,Álvarez Claro,3rd in group 4,1987-88,1987-88
