Club,City,Stadium,Capacity,2015-16 season
Alfonsine,Alfonsine,Comunale,,1st in Eccellenza Emilia Romagna Girone B
Campobasso,Campobasso,Romagnoli,"4,000",3rd in Serie D Girone F
Castelfidardo,Castelfidardo,G. Mancini,"2,000",12th in Serie D Girone F
Chieti,Chieti,Guido Angelini,"12,750",6th in Serie D Girone F
Civitanovese,Civitanova Marche,Comunale,"4,000",1st in Eccellenza Marche
Fermana,Fermo,Bruno Recchioni,"9,500",5th in Serie D Girone F
Jesina,Jesi,Pacifico Carotti,"5,000",8th in Serie D Girone F
Matelica,Matelica,Giovanni Paolo II,500,4th in Serie D Girone F
Monticelli,Ascoli Piceno,Cino e Lillo Del Duca,"10,887",14th in Serie D Girone F
Olympia Agnonese,Agnone,Civitelle,"4,000",13th in Serie D Girone F
Pineto,Pineto,Mimmo Pavone,"1,000",3rd in Eccellenza Abruzzo
Recanatese,Recanati,Nicola Tubaldi,"2,000",7th in Serie D Girone F
Romagna Centro,Cesena,Dino Manuzzi,"23,860",14th in Serie D Girone D
Sammaurese,San Mauro Pascoli,Macrelli,700,10th in Serie D Girone D
San Marino,Serravalle,San Marino,"4,877",4th in Serie D Girone D
San Nicolò,San Nicolò a Tordino,Gaetano Bonolis ( Teramo ),"7,498",9th in Serie D Girone F
Vastese,Vasto,Aragona,"5,374",1st in Eccellenza Abruzzo
Vis Pesaro,Pesaro,Tonino Benelli,"5,000",11th in Serie D Girone F
