Team,City,Stadium,Capacity,2011 season
Auto Esporte,João Pessoa,Almeidão,"40,000",Campeonato Paraibano 8th place
Botafogo,João Pessoa,Almeidão,"40,000",Campeonato Paraibano 4th place
Campinense,Campina Grande,Amigão,"35,000",Campeonato Paraibano runners-up
CSP,João Pessoa,Estádio da Graça,"6,000",Campeonato Paraibano 3rd place
Esporte,Patos,José Cavalcanti,"8,000",Campeonato Paraibano 6th place
Flamengo,João Pessoa,Estádio da Graça,"6,000",Campeonato Paraibano Second Division runners-up ( promoted )
Nacional,Patos,José Cavalcanti,"8,000",Campeonato Paraibano 7th place
Paraíba,Cajazeiras,Perpetão,"4,500",Campeonato Paraibano Second Division Champions ( promoted )
Sousa,Sousa,Marizão,"10,000",Campeonato Paraibano 4th place
Treze,Campina Grande,Amigão,"35,000",Campeonato Paraibano Champions
