Year,Player,MLB Team,NBC Team ( s )
2016,Ian Kinsler,Detroit Tigers,Liberal BeeJays ( '01 )
2015,Hunter Pence,San Francisco Giants,Liberal BeeJays ( '03 )
2012,Michael Young,Texas Rangers,Alaska Goldpanners ( '96 )
2011,Heath Bell,San Diego Padres,El Dorado Broncos ( '97 )
2010,Mark Teixeira,New York Yankees,Maryland Battlecats ( '98 )
2009,Tim Lincecum,San Francisco Giants,Seattle Studs ( '04 )
2008,Joba Chamberlain,New York Yankees,Beatrice Bruins ( '04 & '05 )
2007,Jeff Francis,Colorado Rockies,Anchorage Glacier Pilots ( '01 )
2006,B. J. Ryan,Toronto Blue Jays,Hays Larks ( '96 )
2005,Morgan Ensberg,Houston Astros,Santa Barbara Foresters ( '96 )
2004,Nate Robertson,Detroit Tigers,El Dorado Broncos ( '96 & '98 )
2003,Albert Pujols,St. Louis Cardinals,Hays Larks ( '99 )
2002,Lance Berkman,Houston Astros,Hays Larks ( '95 )
2001,Luis Gonzalez,Arizona Diamondbacks,North Pole Nicks ( '87 )
2000,Eric Karros,Los Angeles Dodgers,North Pole Nicks ( '87 )
1999,Trevor Hoffman,San Diego Padres,Nevada Griffons ( '87 )
1998,Robin Ventura,Chicago White Sox,Santa Marian Indians ( '86 )
1997,Brett Butler,Los Angeles Dodgers,OK City Utility Towers ( '77 ) /Hutchinson Broncos ( '78 )
1996,Chuck Knoblauch,Minnesota Twins,Clarinda A 's ( '87 )
1995,Mark Grace,Chicago Cubs,North Pole Nicks ( '85 )
