Rank,Airport,Serves,Total ( tonnes ),Annual change
1,Toronto Pearson International Airport,Greater Toronto Area,"339,064.9",-0.4%
2,Vancouver International Airport,Metro Vancouver,"186,385.3",-5.2%
3,John C. Munro Hamilton International Airport,Hamilton,"85,144.5",4.0%
4,Calgary International Airport,Calgary,"83,524.3",3.8%
5,Montréal-Pierre Elliott Trudeau International Airport,Greater Montreal,"76,622.9",-0.8%
6,Montréal-Mirabel International Airport,Montreal,"66,899.2",-3.5%
7,Winnipeg James Armstrong Richardson International Airport,Winnipeg,"65,254.3",6.9%
8,Halifax Stanfield International Airport,Halifax,"25,471.3",-8.8%
9,Greater Moncton International Airport,Moncton,"23,642.6",4.9%
10,Edmonton International Airport,Edmonton Capital Region,"22,955.1",0.3%
11,Ottawa Macdonald-Cartier International Airport,Ottawa,"10,288.1",-14.4%
12,St. John 's International Airport,St. John 's,"8,850.1",-15.8%
13,Saskatoon John G. Diefenbaker International Airport,Saskatoon,"4,797.2",2.6%
14,Victoria International Airport,Victoria,"4,541.7",7.6%
15,Kelowna International Airport,Kelowna,"2,766.6",6.3%
16,Thunder Bay International Airport,Thunder Bay,"1,866.5",-7.3%
17,Québec City Jean Lesage International Airport,Quebec City,"1,563.0",-49.9%
18,Prince George Airport,Prince George,"1,391.4",46%
19,Yellowknife Airport,Yellowknife,919.8,39.6%
20,Windsor International Airport,Windsor,800.0,-16.5%
