Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Brad Daluiso,K,UCLA,Pac-10
Atlanta Falcons,George Koonce,LB,East Carolina,Ind . ( I-A )
Chicago Bears,James Williams,DT,Cheyney,PSAC
Cincinnati Bengals,Joe King,S,Oklahoma State,Big Eight
Denver Broncos,Reggie Rivers,RB,Southwest Texas State,Southland
Kansas City Chiefs,Willie Davis,WR,Central Arkansas,Arkansas
Kansas City Chiefs,Lonnie Marts,LB,Tulane,Ind
Los Angeles Raiders,Mike Jones,LB,Missouri,Big Eight
Miami Dolphins,Chuck Klingbeil,DT,Northern Michigan,MIFC
Miami Dolphins,Doug Pederson,QB,Louisiana-Monroe,Southland
New York Giants,Tom Rouen,P,Colorado,Big Eight
Seattle Seahawks,Dedrick Dodge,S,Florida State,Ind
Tampa Bay Buccaneers,Roger Jones,CB,Tennessee State,OVC
Washington Redskins,James Jenkins,TE,Rutgers,Ind
