Fence,Horse,Jockey,SP,Fate
8 ( Canal Turn ),The Rainbow Hunter,Aidan Coleman,1050 50/1,Unseated rider
8 ( Canal Turn ),Treacle ( IRE ),Noel Fehily,1033 33/1,Unseated rider
8 ( Canal Turn ),Big Fella Thanks,Denis O'Regan,1033 33/1,Unseated rider
11,Ninetieth Minute ( IRE ),Niall Madden,1080 80/1,Pulled up
12,Tatenen ( FRA ),Andrew Thornton,1100 100/1,Fell
14,Viking Blond ( FRA ),Adam Wedge,1066 66/1,Pulled up
15 ( The Chair ),Colbert Station ( IRE ),Tony McCoy,1012 12/1,Unseated rider
17,Lost Glory ( NZL ),Mark Walsh,1050 50/1,Pulled up
19 ( open ditch ),Joncol ( IRE ),Robbie Power,1050 50/1,Pulled up
19 ( open ditch ),What A Friend,Sam Thomas,1033 33/1,Pulled up
21,Becauseicouldntsee ( IRE ),Martin Ferris,1066 66/1,Pulled up
22 ( Becher 's Brook ),Imperial Commander ( IRE ),Sam Twiston-Davies,1011 11/1,Pulled up
23 ( Foinavon ),Forpadydeplasterer ( IRE ),Andrew McNamara,1066 66/1,Pulled up
23 ( Foinavon ),Quel Esprit ( FRA ),Paul Townend,1040 40/1,Pulled up
23 ( Foinavon ),Weird Al ( IRE ),Timmy Murphy,1066 66/1,Pulled up
24 ( Canal Turn ),Ballabriggs ( IRE ),Jason Maguire,1020 20/1,Pulled up
25 ( Valentine 's ),On His Own ( IRE ),Ruby Walsh,1008 8/1,Fell
25 ( Valentine 's ),Harry the Viking,Ryan Mahon,1040 40/1,Pulled up
27 ( open ditch ),Mr. Moonshine ( IRE ),Peter Buchanan,1066 66/1,Pulled up
30,Mumbles Head ( IRE ),Jamie Moore,1100 100/1,Refused
