Individual,Year inducted,Years with franchise
Herb Brooks,1990,1992-1993
Aaron Broten,2007,1980-1990
Neal Broten,2000,1995-1996
Bobby Carpenter,2007,"1993-1999 , 2000-2004"
John Cunniff,2003,"1989-1991 , 2001-2002"
Mike Emrick,2011,"1982-1986 , 1993-2011"
Robbie Ftorek,1991,"1991-1992 , 1996-2000"
Brian Gionta,2019,2001-2009
Bill Guerin,2013,1991-1997
Phil Housley,2004,1996
Mark Johnson,2004,1985-1990
Lou Lamoriello,2012,1987-2015
Brian Rafalski,2014,1999-2007
Lou Vairo,2014,1984-1986
John Vanbiesbrouck,2007,2001-2002
