Aircraft,Allied Code name,First flown,Number built,Service
Aichi E13A Navy Type 0 Reconnaissance Seaplane,Jake,1941,"1,418",IJN
Aichi E16A Zuiun Navy Reconnaissance Seaplane,Paul,1942,256,IJN
Kawanishi E7K Navy Type 94 Reconnaissance Seaplane,Alf,1933,533,IJN
Kawanishi E15K Shiun Navy Type 2 High-speed Reconnaissance Seaplane,Norm,1941,15,IJN
Kawanishi H6K Type 97 Large Flying Boat,Mavis,1936,215,IJN
Kawanishi H8K Type 2 Large Flying Boat,Emily,1941,167,IJN
Kawasaki Ki-10 Army Type 95 Fighter ( used for reconnaissance during WW2 ),Perry,1935,588,IJA
Mitsubishi F1M Type 0 Observation Seaplane,Pete,1936,"1,118",IJN
Mitsubishi Ki-46 Type 100 Command Reconnaissance Aircraft,Dinah,1941,"1,742",IJA
Nakajima C6N Saiun Navy Carrier Reconnaissance Plane,Myrt,1943,463,IJN
Nakajima E8N Navy Type 95 Reconnaissance Seaplane Model 1,Dave,1934,755,IJN
Nakajima J1N Gekkou Navy Type 2 Reconnaissance Plane,Irving,1942,479,IJN
Watanabe E9W Navy Type 96 Small Reconnaissance Seaplane,Slim,1935,35,IJN
Yokosuka E14Y Type 0 Small Reconnaissance Seaplane,Glen,1939,126,IJN
