Author,Short story title,World,Republished in
Robin Hobb,Homecoming,The Realm of the Elderlings,"Legends II : Shadow , Gods , and Demons"
George R. R. Martin,The Sworn Sword ( novella ),A Song of Ice and Fire,"Legends II : Dragon , Sword , and King"
Orson Scott Card,The Yazoo Queen,The Tales of Alvin Maker,"Legends II : Dragon , Sword , and King"
Diana Gabaldon,Lord John and the Succubus ( novella ),Outlander,"Legends II : Dragon , Sword , and King"
Robert Silverberg,The Book of Changes,Majipoor,"Legends II : Shadow , Gods , and Demons"
Tad Williams,The Happiest Dead Boy in the World,Otherland,"Legends II : Shadow , Gods , and Demons"
Anne McCaffrey,Beyond Between,Dragonriders of Pern,"Legends II : Shadow , Gods , and Demons"
Raymond E. Feist,The Messenger,The Riftwar Saga,"Legends II : Shadow , Gods , and Demons"
Elizabeth Haydon,Threshold,Symphony of Ages,"Legends II : Dragon , Sword , and King"
Neil Gaiman,The Monarch of the Glen,American Gods,"Legends II : Shadow , Gods , and Demons"
Terry Brooks,Indomitable,Shannara,"Legends II : Dragon , Sword , and King"
