Year,Title,Role
2007,The Sound of People,Father
2007,Matterhorn,Theodoro
2007,Porcelain,Kevin
2008,Alarm,Mal
2012,The Hobbit : An Unexpected Journey,Kíli
2013,The Mortal Instruments : City of Bones,Luke Garroway
2013,The Hobbit : The Desolation of Smaug,Kíli
2014,The Hobbit : The Battle of the Five Armies,Kíli
2016,The Secret Scripture,Jack Conroy
2017,Loving Vincent,Boatman
2018,The Man Who Killed Hitler and Then the Bigfoot,Young Calvin Barr
2019,Love Is Blind,Russell
2019,The Last Planet,André
