,Landmark name,Date designated,Location,Island,Description
1,USS Arizona ( shipwreck ),"May 5 , 1989 ( # 89001083 )",Pearl Harbor 21°22′00″N 157°57′10″W / 21.3665398725°N 157.952798087°W / 21.3665398725 ; -157.952798087 ( USS Arizona ( shipwreck ) ),Oʻahu,Sunken remains of USS Arizona ; destroyed in battle during the Japanese attack on Pearl Harbor . Now the centerpiece of the NRHP USS Arizona Memorial
2,USS Bowfin ( submarine ),"January 14 , 1986 ( # 82000149 )",Pearl Harbor 21°22′20″N 157°56′30″W / 21.3723°N 157.94168°W / 21.3723 ; -157.94168 ( USS Bowfin ( submarine ) ),Oʻahu,US Navy submarine which sank 16 Japanese vessels during World War II . Now a museum ship
3,CINCPAC Headquarters,"May 28 , 1987 ( # 87001295 )",Joint Base Pearl Harbor-Hickam 21°21′58″N 157°56′18″W / 21.3661232°N 157.938247°W / 21.3661232 ; -157.938247 ( CINCPAC Headquarters ),Oʻahu,Headquarters of Admiral Chester W. Nimitz from 1942 through 1945
4,Cook Landing Site,"December 29 , 1962 ( # 66000298 )",Waimea 21°57′07″N 159°39′57″W / 21.951842°N 159.665842°W / 21.951842 ; -159.665842 ( Cook Landing Site ),Kauaʻi,"Captain James Cook landed here at the mouth of the Waimea River on January 20 , 1778 ; He was the first European known to have sighted the Hawaiian Islands"
5,Falls of Clyde ( four-masted oil tanker ),"April 11 , 1989 ( # 73000659 )",Honolulu 21°18′21″N 157°51′54″W / 21.305774°N 157.864961°W / 21.305774 ; -157.864961 ( Falls of Clyde ( four-masted oil tanker ) ),Oʻahu,"Only surviving iron-hulled , four-masted full rigged ship , and the only surviving sail-driven oil tanker in the world . She was for a time a museum ship , but was in 2013 being prepared for drydock"
6,Hickam Field,"September 16 , 1985 ( # 85002725 )",Honolulu 21°19′57″N 157°57′13″W / 21.3325°N 157.9536°W / 21.3325 ; -157.9536 ( Hickam Field ),Oʻahu,Air Force Base which was a primary target in the attack on Pearl Harbor and played a key role throughout the World War II Pacific campaign
7,Hokukano-Ualapue Complex,"December 29 , 1962 ( # 66000304 )",Ualapue 21°03′45″N 156°49′48″W / 21.062525°N 156.829995°W / 21.062525 ; -156.829995 ( Hokukano-Ualapue Complex ),Molokaʻi,Archaeological site ; includes six heiaus ( religious sites ) and two fishponds
8,Honokohau Settlement,"December 29 , 1962 ( # 66000287 )",Kona District 19°40′42″N 156°01′26″W / 19.678333°N 156.02389°W / 19.678333 ; -156.02389 ( Honokohau Settlement ),Hawaiʻi,"Site of an ancient Hawaiian settlement ; includes fishponds , kahua ( house site platforms ) , kiʻi pōhaku ( petroglyphs ) , hōlua ( stone slide ) and heiau ( religious site )"
9,Huilua Fishpond,"December 29 , 1962 ( # 66000295 )",Kāneʻohe 21°33′27″N 157°52′06″W / 21.55743°N 157.868302°W / 21.55743 ; -157.868302 ( Huilua Fishpond ),Oʻahu,Last surviving fishponds out of an estimated 97 such structures that once existed on coastal Oʻahu ; still operational well into the 20th century
10,ʻIolani Palace,"December 29 , 1962 ( # 66000293 )",Honolulu 21°18′23″N 157°51′35″W / 21.306299°N 157.859708°W / 21.306299 ; -157.859708 ( ʻIolani Palace ),Oʻahu,Only royal palace used as an official residence by a reigning monarch in the United States
11,Kalaupapa Leprosy Settlement,"January 7 , 1976 ( # 76002145 )",Kalaupapa 21°11′21″N 156°58′59″W / 21.189167°N 156.983056°W / 21.189167 ; -156.983056 ( Kalaupapa Leprosy Settlement ),Molokaʻi,Founded in 1866 for the isolation of Hawaiians afflicted with leprosy . Now part of the larger Kalaupapa National Historical Park
12,Kamakahonu,"December 29 , 1962 ( # 66000288 )",Kailua-Kona 19°38′20″N 155°59′51″W / 19.639006°N 155.997586°W / 19.639006 ; -155.997586 ( Kamakahonu ),Hawaiʻi,Final residence of King Kamehameha I
13,Kaneohe Naval Air Station,"May 28 , 1987 ( # 87001299 )",Kailua 21°26′48″N 157°45′59″W / 21.44667°N 157.766389°W / 21.44667 ; -157.766389 ( Kaneohe Naval Air Station ),Oʻahu,Naval airfield attacked by the Japanese seven minutes before the attack on Pearl Harbor began in order to establish air superiority
14,Kaunolu Village Site,"December 29 , 1962 ( # 66000303 )",South coast 20°44′05″N 156°57′52″W / 20.73472°N 156.9644°W / 20.73472 ; -156.9644 ( Kaunolu Village Site ),Lānaʻi,"This former fishing village , abandoned in the 1880s , is the largest surviving ruins of a prehistoric Hawaiian village . The archaeological site is very well preserved"
15,Kawaiahaʻo Church and Mission Houses,"December 29 , 1962 ( # 66000294 )",Honolulu 21°18′17″N 157°51′32″W / 21.304616°N 157.858899°W / 21.304616 ; -157.858899 ( Kawaiahaʻo Church and Mission Houses ),Oʻahu,Formerly the national church of the Hawaiian Kingdom and chapel of the royal family
16,Keauhou Holua Slide,"December 29 , 1962 ( # 66000290 )",Keauhou 19°33′44″N 155°57′30″W / 19.56234167°N 155.95847°W / 19.56234167 ; -155.95847 ( Keauhou Holua Slide ),Hawaiʻi,"This is the largest and best-preserved hōlua course , used in the extremely toboggan -like activity restricted to chiefs"
17,Lahaina Historic District,"December 29 , 1962 ( # 66000302 )",Lāhainā 20°52′41″N 156°40′40″W / 20.87805°N 156.67778°W / 20.87805 ; -156.67778 ( Lahaina Historic District ),Maui,Preserves the atmosphere of a mid-19th century Hawaiian seaport
