Club,Based,Home stadium,Capacity,First season in V-League,Manager
Becamex Bình Dương,Thủ Dầu Một,Gò Đậu Stadium,"18,250",2004,Đặng Trần Chỉnh
Đồng Tâm Long An,Tân An,Long An Stadium,"19,975",2003,Buketa Ranko
Cao su Đồng Tháp,Cao Lãnh,Cao Lãnh Stadium,"20,000",2000,Phạm Công Lộc
Hà Nội ACB,Hà Nội,Hàng Đẫy Stadium,"22,500",2004,Mauricio Luis Giganti
Hòa Phát Hà Nội,Hà Nội,Hàng Đẫy Stadium,"22,500",2003,Nguyễn Thành Vinh
Hoàng Anh Gia Lai,Pleiku,Pleiku Stadium,"15,000",2003,Huỳnh Văn Ảnh
Khatoco Khánh Hòa,Nha Trang,August 19th Stadium,"25,000",2000,Hoàng Anh Tuấn
Lam Sơn Thanh Hóa,Thanh Hóa,Thanh Hóa Stadium,"14,000",2010,Đàm Văn Hải
Navibank Sài Gòn,Hồ Chí Minh City,Thống Nhất Stadium,"25,000",2010,Mai Đức Chung
SHB Đà Nẵng,Đà Nẵng,Chi Lăng Stadium,"30,000",2001,Lê Huỳnh Đức
Sông Lam Nghệ An,Vinh,Vinh Stadium,"22,000",2000,Nguyễn Hữu Thắng
Hà Nội T & T,Hà Nội,Hàng Đẫy Stadium,"22,500",2008,Phan Thanh Hùng
Vicem Hải Phòng,Hải Phòng,Lạch Tray Stadium,"28,000",2000,Nguyễn Đình Hưng
Vissai Ninh Bình,Ninh Bình,Ninh Bình Stadium,"22,000",2010,Nguyễn Văn Sỹ
