Name of aircraft,Year in service,Country of origin
Aichi E13A,1941,Japan
Aichi E16A,1944,Japan
Aichi M6A,1945,Japan
Arado Ar 95,1936,Germany
Arado Ar 196,1938,Germany
Arado Ar 199 trainer,1939,Germany
Arado Ar 231,1941,Germany
Beriev Be-2,1938,USSR
Beriev Be-4,1942,USSR
Besson MB.411,1935,France
CANT Z.506,1936,Italy
CANT Z.515,1940,Italy
Curtiss SC Seahawk,1944,US
Curtiss SO3C Seamew,1942,US
Curtiss SOC Seagull,1935,US
Dornier Do 22,1938,Germany
Fairey Seafox,1937,UK
Fairey Swordfish,1936,UK
Farman NC.470,1938,France
Fiat RS.14,1941,Italy
