Medal,Name,Sport,Event
Gold,Choi Yun-Chil,Athletics,Men 's 1500 m
Gold,Choi Chung-Sik,Athletics,Men 's 10000 m
Gold,Park Kyu-Hyun,Boxing,Men 's Featherweight ( -57 kg )
Gold,Yu In-Ho,Weightlifting,Men 's -56 kg
Gold,Cho Bong-Mok,Weightlifting,Men 's -67.5 kg
Gold,Kim Chang-Hee,Weightlifting,Men 's -75 kg
Gold,Kim Seong-Jip,Weightlifting,Men 's -87.5 kg
Gold,Ko Jong-Koo,Weightlifting,Men 's -90 kg
Silver,Choi Yun-Chil,Athletics,Men 's 5000 m
Silver,Lee Jang-Kyo,Boxing,Men 's Flyweight ( -51 kg )
Silver,Lee Sam-Yong,Boxing,Men 's Lightwelterweight ( -63.5 kg )
Silver,Team Korea,Football,Men 's Team competition
Silver,Han Deok-Heung,Wrestling,Men 's Freestyle -57 kg
Silver,Na Si-Yoon,Weightlifting,Men 's -75 kg
Bronze,Choi Young-Ki,Athletics,Men 's Triple jump
Bronze,Song Kyo-Sik,Athletics,Men 's Hammer throw ]
Bronze,Kim Yoon-Seo,Boxing,Men 's Welterweight ( -67 kg )
Bronze,Kim Young-Jun,Wrestling,Men 's Freestyle -62 kg
Bronze,Lim Bae-Young,Wrestling,Men 's Freestyle -73 kg
