Year,Performing artist ( s ),Nationality,Work,Nominees
2000,Mercedes Sosa,Argentina,Misa Criolla,Hevia - Tierra de nadie Los Nocheros - Nocheros Carlos Núñez - Os amores libres Totó la Momposina - Pacantó
2001,El All-Stars de La Rumba Cubana,Cuba,La Rumba Soy Yo,"Jaime Uribe Espitia , José Revelo and John Villegas - Seresta Hevia - The Other Side Carlos Núñez - Mayo Longo Lázaro Ros - Yamayá"
2002,Susana Baca,Peru,Lamento Negro,Berrogüetto - Hepta Kepa Junkera - Maren Petrona Martínez - Bonito Que Canta Lázaro Ros - Orisha Ayé . Shangó
2003,Mercedes Sosa,Argentina,Acústico,Alex Acuña and Eva Ayllón with Los Hijos Del Sol - To My Country Eva Ayllón - Eva Los Muñequitos de Matanzas - Rumba De Corazón Raíces Habaneras - Raíces Habaneras
2004,Kepa Junkera,Spain,K,Manuel Alejandro - Manuel Alejandro y Punto : Homenaje Al Grupo Haciendo Punto en Otro Son Ecos de Borinquen - Jíbaro Hasta el Hueso : Mountain Music of Puerto Rico Horacio Guarany - Cantor de Cantores Perú Negro - Jolgorio Radio Tarifa - Fiebre
2005,Lila Downs,Mexico,One Blood Una Sangre,Camerata Coral and Grupo Tepeu - Misa Criolla - Navidad Nuestra De Ariel Ramírez Los Nocheros - Noche Amiga Mía John Santos and El Coro Folklórico Kindembo - Para Ellos Various Artists - Homenaje A Luis Miranda El Pico De Oro
2006,Mercedes Sosa,Argentina,Corazón Libre,Quique Domenech and Alejandro Croatto - Con El Corazón ... Grupo Renacer - Puerto Rico Te Saluda ... Chango Spasiuk - Tarefero De Mis Pagos Cacho Tirao - La Guitarra Argentina Yoruba Andabo - Rumba En La Habana Con
2007,Los Gaiteros de San Jacinto,Colombia,Un Fuego de Sangre Pura,Los Muñequitos de Matanzas - Tambor De Fuego Mariza - Concerto em Lisboa Sones de México Ensemble Chicago - Esta Tierra Es Tuya ( This Land is Your Land )
2008,Cholo Valderrama,Colombia,Caballo !,Damaris - Mil Caminos Mariza - Terra Perú Negro - Zamba Malató Walter Silva - 20 Éxitos
2009,Mercedes Sosa,Argentina,Cantora 1,Eva Ayllón - Kimba Fá Los Muñequitos de Matanzas - D ' Palo Pa ' Rumba Walter Silva - Ya No Le Camino Mas Soledad - Folklore
2010,Ilan Chester,Venezuela,Tesoros de la Música Venezolana,Checo Acosta - El Folclor de Mi Tierra Eva Ayllón - Canta a Chabuca Granda Petrona Martínez - Las Penas Alegres Juan Fernando Velasco - Con Toda el Alma
2011,Mercedes Sosa,Argentina,Deja La Vida Volar - En Gira,Eva Ayllón & Perú Negro - 40 Años de Clasicos Afro Peruanos Jorge Pardo - Música Tradicional Peruana Homenaje A Arturo Zambo Cavero Y Oscar Aviles Soledad Pastorutti - Vivo En Arequito Santoral - Más Que Enamorao
2012,Lila Downs,Mexico,Pecados y Milagros,Eva Ayllón & Inti-Illimani - Eva Ayllón + Inti-Illimani Histórico Reynaldo Armas - Me Emborraché Pa ' Olvidarla Luciano Pereyra - Con Alma De Pueblo Chuchito Valdés & Eddy Navia - Piano & Charango
2013,Reynaldo Armas,Venezuela,El Caballo de Oro,Gaêlica - Luz - Una Navidad Celta En Venezuela Gualberto Ibarreto and C4 Trío - Gualberto + C4 Los Nocheros - Clásicos - El Pecado Original María Mulata - De Cantos Y Vuelos Chuchito Valdés and Eddy Navia - Carnaval En Piano Charango
2014,"Lila Downs , Niña Pastori and Soledad","Mexico , Spain and Argentina",Raíz,"Albita , Eva Ayllón and Olga Cerpa - Mujeres Con Cajones C4 Trío and Rafael Pollo Brito - De Repente Orozco - Barrientos - Tinto Totó la Momposina - El Asunto"
