Name,Chartered,Institution,Location
Tau Alpha,,Armstrong State University,"Savannah , Georgia"
Tau Beta,1998,Indiana University of Pennsylvania,"Indiana , Pennsylvania"
Tau Gamma,1999,"Fort Wayne , Indiana City-Wide","Fort Wayne , Indiana"
Tau Delta,"April 22 , 2000",Loyola Marymount University,"Los Angeles , California"
Tau Epsilon,,Clayton State University,"Morrow , Georgia"
Tau Zeta,"May 3 , 2000",Cal State Northridge,"Northridge , Los Angeles , California"
Tau Eta,"April 21 , 2000",Brenau University,"Gainesville , Georgia"
Tau Theta,"May 7 , 2000 , Reactivated April 2014",[ West Point ],New York
Tau Iota,,University of Tampa,"Tampa , Florida"
Tau Kappa,"December 8 , 2002",Rider University,"Lawrenceville , New Jersey"
Tau Lambda,"April 26 , 2003",University of Northern Colorado,"Greeley , Colorado"
Tau Mu,,"University of Nevada , Reno","Reno , Nevada"
Tau Nu,,Belmont University,"Nashville , Tennessee"
Tau Omicron,2004,Mercer University,"Atlanta , Georgia"
Tau Pi,,Arkansas Baptist College,"Little Rock , Arkansas"
Tau Rho,"April 30 , 2004",University of Miami,"Coral Gables , Florida"
Tau Sigma,"April 30 , 2004",Florida Gulf Coast University,"Fort Myers , Florida"
Tau Sigma ( Original ),"May 28 , 1931",Birmingham alumni chapter,"Birmingham , Alabama"
Tau Tau,,University of San Francisco,"San Francisco , California"
Tau Upsilon,2004,Tennessee Tech University,"Cookeville , Tennessee"
