Name,Affiliation,State,Service,Notes
"John Armstrong , Jr",Att,New York,"1800-02 , 1804","Minister to France , 1804-1810 . Minister to Spain , 1806 . Secretary of War , 1813-14"
Dewey F. Bartlett,B 1942,Oklahoma,1973-79,"Governor , 1967-71"
"David Baird , Jr",B 1903,New Jersey,1929-30,
William Barbour,Att,New Jersey,"1931-37 , 1938-43",
James Bayard,B 1784,Delaware,1804-13,
Richard Bayard,B 1814,Delaware,"1836-39 , 1841-45","Chargé d'affaires to Belgium , 1850-53"
John Macpherson Berrien,B 1781,Georgia,"1825-29 , 1841-45 , 1845-52","Attorney General , 1829-31"
Hiram Bingham III,F,Connecticut,1924-33,Credited with the discovery of Machu Picchu
"Francis Preston Blair , Jr",B 1841,Missouri,1871-73,Major general for the Union during the American Civil War
Bill Bradley,B 1965,New Jersey,1979-97,"NBA player , 1967-77 . Gold medalist in basketball in the 1964 Summer Olympics"
Daniel Brewster,Att 1942,Maryland,1963-69,
John Brown,Att,Virginia,1789-92,"U.S . Senator from Kentucky , 1792-1805 . President pro tempore , 1803 , 1804 . Listed twice ; see above"
John Brown,Att,Kentucky,1792-1805,"U.S . Senator from Kentucky , 1789-92 . President pro tempore , 1803 , 1804 . Listed twice ; see above"
Aaron Burr,B 1772,New York,1791-97,"Vice President of the United States , 1801-05"
Kit Bond,B 1960,Missouri,1987-2011,"Governor , 1973-77 , 1981-85"
Jacob Burnet,B 1791,Ohio,1828-31,
J. Donald Cameron,B 1852,Pennsylvania,1877-97,"Secretary of War , 1876-77 . Chairman of the Republican National Committee , 1880"
George W. Campbell,B 1794,Tennessee,"1811-14 , 1815-18","Secretary of the Treasury , 1814 . Minister to Russia , 1818-21"
"James Chesnut , Jr",B 1837,South Carolina,1858-60,"Confederate brigadier general , 1864"
John E. Colhoun,B 1774,South Carolina,1801-02,
