Pick,Player,Recruited from,Recruited to
1,Shane O'Bree,Brisbane Lions,Collingwood
2,Brad Bootsma,South Fremantle,Fremantle
3,James Cook,Western Bulldogs,Melbourne
4,James Byrne,Glenelg,Adelaide
5,Fred Campbell,Sydney Swans,St Kilda
6,Barry Young,Essendon,Hawthorn
7,Ben Fixter,NSW/ACT Rams,Sydney Swans
8,Wade Chapman,Sydney Swans,Port Adelaide
9,Andrew Wills,Fremantle,Western Bulldogs
10,Simon Hawking,Sydney Swans,Collingwood
11,Steven Pitt,Norwood,Melbourne
12,Andrew Crowell,Woodville-West Torrens,Adelaide
13,Damian Monkhorst,Collingwood,St Kilda
14,Simon Godfrey,Melbourne Reserves,Melbourne
15,Sean Charles,Woorinen,St Kilda
