Team,Arena,Home Games,Average Attendance,Total Attendance,Capacity Percentage
Chicago Blackhawks,United Center,41,"21,769","892,532",110.4%
Montreal Canadiens,Bell Centre,41,"21,286","872,752",100.1%
Detroit Red Wings,Joe Louis Arena,41,"20,027","821,107",100.0%
Philadelphia Flyers,Wells Fargo Center,41,"19,270","790,107",98.6%
Calgary Flames,Scotiabank Saddledome,41,"19,097","782,977",99.0%
Toronto Maple Leafs,Air Canada Centre,41,"19,062","781,576",101.3%
Minnesota Wild,Xcel Energy Center,41,"19,023","779,944",106.0%
Tampa Bay Lightning,Amalie Arena,41,"18,823","771,761",98.0%
Vancouver Canucks,Rogers Arena,41,"18,710","767,149",98.9%
Pittsburgh Penguins,Consol Energy Center,41,"18,617","763,319",101.3%
Washington Capitals,Verizon Center,40,"18,506","740,240",100.0%
Buffalo Sabres,First Niagara Center,41,"18,580","761,809",97.4%
St. Louis Blues,Scottrade Center,41,"18,545","760,349",96.8%
Los Angeles Kings,Staples Center,41,"18,265","748,893",100.2%
Ottawa Senators,Canadian Tire Centre,41,"18,246","748,112",95.3%
New York Rangers,Madison Square Garden,41,"18,006","738,246",100.0%
Boston Bruins,TD Garden,41,"17,565","720,165",100.0%
San Jose Sharks,SAP Center at San Jose,40,"17,420","696,807",99.6%
Dallas Stars,American Airlines Center,41,"17,350","711,359",93.6%
Anaheim Ducks,Honda Center,41,"16,874","691,835",98.3%
