Pick #,MLS team,Player,Position,Affiliation
40,D.C. United,Dennis Ludwig,F,Rutgers University
41,New England Revolution,Derek Potteiger,M,Penn State
42,D.C. United,Bobby Brennan,D,American University
43,Kansas City Wizards,Dominic DaPra,F,University of Wisconsin-Madison
44,Dallas Burn,Adauto Neto,M,University of Mobile
45,New England Revolution,Marshall Leonard,D,University of Virginia
46,Chicago Fire,Mike Nugent,F,Princeton University
47,Columbus Crew,Chris Leitch,D,University of North Carolina
48,Los Angeles Galaxy,Noah Delgado,M,Fresno State
49,San Jose Earthquakes,Erik Ozimek,M,Davidson College
