Team,City,Stadium
América,Cali,Estadio Olímpico Pascual Guerrero
Atlético Bucaramanga,Bucaramanga,Estadio Alfonso López
Atlético Municipal,Medellín,Estadio San Fernando
Boca Juniors,Cali,Estadio Olímpico Pascual Guerrero
Cúcuta Deportivo,Cúcuta,Estadio General Santander
Deportes Quindío,Armenia,Estadio San José de Armenia
Deportivo Manizales,Manizales,Estadio Palogrande
Deportivo Cali,Cali,Estadio Olímpico Pascual Guerrero
Deportivo Pereira,Pereira,Estadio Libaré
Deportivo Samarios,Santa Marta,Estadio Eduardo Santos
Junior,Barranquilla,Estadio Romelio Martínez
Millonarios,Bogotá,Estadio El Campín
Santa Fe,Bogotá,Estadio El Campín
Sporting de Barranquilla,Barranquilla,Estadio Romelio Martínez
Universidad,Bogotá,Estadio Alfonso López Pumarejo
