Year,Song,Artist,Album,Label,Certifications
1998,Wasted My Time,Michel'le,Hung Jury,Death Row / EMI Records,-
2004,Full Grown,Charlie Vox,Soul Plane ( The Motion Picture ),MGM Pictures,-
2004,As It Began,Crystal Kay,Motherland,Epic / Sony Music Japan,-
2005,Stupid Like U,Deborah Cox,-,Capitol / EMI France,-
2006,Cherry Girl,Koda Kumi,Black Cherry,Avex Trax Japan,Japan ( RIAJ ) : Million
2006,Final Goodbye,Rihanna,A Girl Like Me,Def Jam / Universal Music,Australia ( ARIA ) : Platinum Canada ( CRIA ) : 2x Platinum France ( SNEP ) : Gold Germany ( BVMI ) : Gold Hungary ( MAHASZ ) : Gold Ireland ( IRMA ) : 2x Platinum Japan ( RIAJ ) : Gold Poland ( ZPAV ) : Gold Russia ( NFPF ) : Platinum Switzerland ( IFPI ) : Platinum United Kingdom ( BPI ) : Platinum United States ( RIAA ) : Platinum
2009,Monday Morning,Melanie Fiona,The Bridge,SRC / Universal Motown,-
2010,Very Very Hot,Miro Gee feat . Angelique Cinelu,-,2AM LTD/ Universal Music Spain,-
2011,# 1,Namie Amuro,Checkmate !,Avex Trax Japan,Japan ( RIAJ ) : 2x Platinum
2013,Draw The Line,Yemi Marie,-,Prize Music Entertainment,-
