Scientific name,Common name,Classified,Average size,Conservation status
Avahi betsileo,Betsileo woolly lemur,"2007 , Andriantompohavana et al",unknown,Endangered
Avahi cleesei,Cleese 's woolly lemur,"2005 , Thalmann and Geissmann",0.83 kg ( 1.8 lb ),Endangered
Avahi laniger,Eastern woolly lemur,"1788 , Gmelin",0.9-1.3 kg ( 2.0-2.9 lb ),Vulnerable
Avahi meridionalis,Southern woolly lemur,"2006 , Zaramody et al",unknown,Endangered
Avahi mooreorum,Moore 's woolly lemur,"2008 , Lei et al",unknown,Endangered
Avahi occidentalis,Western woolly lemur,"1898 , von Lorenz-Liburnau",0.7-0.9 kg ( 1.5-2.0 lb ),Endangered
Avahi peyrierasi,Peyrieras 's woolly lemur,"2006 , Zaramody et al",unknown,Vulnerable
Avahi ramanantsoavani,Ramanantsoavana 's woolly lemur,"2006 , Zaramody et al",unknown,Vulnerable
Avahi unicolor,Sambirano woolly lemur,"2000 , Thalmann and Geissmann",0.7-1 kg ( 1.5-2.2 lb ),Endangered
Indri indri,Indri,"1788 , Gmelin",6-9.5 kg ( 13-21 lb ),Critically Endangered
Propithecus candidus,Silky sifaka,"1871 , A. Grandidier",5-6 kg ( 11-13 lb ),Critically Endangered
Propithecus coquereli,Coquerel 's sifaka,"1867 , A. Grandidier",3.7-4.3 kg ( 8.2-9.5 lb ),Endangered
Propithecus coronatus,Crowned sifaka,"1871 , Milne-Edwards",3.5-4.3 kg ( 7.7-9.5 lb ),Endangered
Propithecus deckenii,Von der Decken 's sifaka,"1870 , A. Grandidier",3-4.5 kg ( 6.6-9.9 lb ),Endangered
Propithecus diadema,Diademed sifaka,"1832 , Bennett",6-8.5 kg ( 13-19 lb ),Critically Endangered
Propithecus edwardsi,Milne-Edwards 's sifaka,"1871 , A. Grandidier",5-6.5 kg ( 11-14 lb ),Endangered
Propithecus perrieri,Perrier 's sifaka,"1931 , Lavauden",4.3-5 kg ( 9.5-11.0 lb ),Critically Endangered
Propithecus tattersalli,Golden-crowned sifaka,"1988 , Simons",3.4-3.6 kg ( 7.5-7.9 lb ),Critically Endangered
Propithecus verreauxi,Verreaux 's sifaka,"1867 , A. Grandidier",3-3.5 kg ( 6.6-7.7 lb ),Endangered
