Community,Airport name,TC LID
Beaver Creek,Beaver Creek Airport,
Braeburn Lodge,Braeburn Airport ( Cinnamon Bun Airstrip ),CEK2
Burwash Landing,Burwash Airport,
Carcross,Carcross Airport,CFA4
Carcross,Carcross Water Aerodrome,CEB7
Carmacks,Carmacks Airport,CEX4
Chapman Lake,Chapman Aerodrome,CEZ2
Dawson City,Dawson City Airport,
Eagle Plains,Finlayson Lake Airport,CFT3
Eagle Plains,Wiley Aerodrome,CAJ2
Faro,Faro Airport,
Fort Selkirk,Fort Selkirk Aerodrome,CFS3
Haines Junction,Haines Junction Airport,
Hyland,Hyland Airport,CFT5
La Biche River,La Biche River Airport,CFP6
Macmillan Pass,Macmillan Pass Airport,CFC4
Mayo,Mayo Airport,
McQuesten,McQuesten Airport,CFP4
Minto,Minto Landing Aerodrome,CML7
Minto Mine,Minto Aerodrome,CMN4
