Year,Title,Role,Notes
2007,Prime Suspect 7 : The Final Act,Robert,Episode : Part 1
2009,Occupation,Erik Lester,3 episodes
2011,Outcasts,Elijah,1 episode
2011,Stolen,Thomas Ekoku,TV movie
2012,Game of Thrones,Xaro Xhoan Daxos,5 episodes
2013,The Bible,Samson,Episode : Homeland
2013,Playhouse Presents,Chris,Episode : The Pavement Psychologist
2013-14,Dracula,R.M . Renfield,Main cast ; 10 episodes
2015-17,Zoo,Abraham Kenyatta,Main cast
2015,Tut,General Horemheb,Miniseries ; 3 episodes
2015,Doctor Who,Hydroflax ( body { voice only } ),Episode : The Husbands of River Song
2016,A Midsummer Night 's Dream,Oberon,TV movie
