Year,Title,Role,Notes
1972,Love 's Labour 's Lost,Mercade,Nottingham Playhouse
1972,Brand,villager,Nottingham Playhouse
1972,Robin Hood,Robin Hood,Nottingham Playhouse
1972,The Three Musketeers,John Felton/guard,Nottingham Playhouse
1973,The Two Gentlemen of Verona,Speed,"Young Lyceum , Edinburgh"
1973,Rosencrantz and Guildenstern Are Dead,Alfred,"Ledlanet House , Edinburgh"
1973,Hamlet,Osric,"Ledlanet House , Edinburgh"
1973,Woyzeck,,"Young Lyceum , Edinburgh"
1973,The Three Estates,soldier,"Royal Lyceum Theatre , Edinburgh"
1973,The Taming of the Shrew,Tranio/Grumio,Open Space Theatre/Dutch tour
1974,A Narrow Road to the Deep North,,"Royal Lyceum Theatre , Edinburgh"
1974,Midsummer Night 's Dream,Lysander,"Leith Festival , Edinburgh"
1980,Barefoot in the Park,Paul Bratter,"Churchill Theatre , Bromley"
1982,Cinderella,Buttons,Assembly Hall Theatre Tunbridge Wells
1984,Barefoot in the Park,Paul Bratter,UK tour
1986,The Owl and the Pussycat,Felix,UK tour
1991,Arsenic and Old Lace,Mortimer Brewster,Chichester Festival Theatre
1992,The Decorator,,Yvonne Arnaud Theatre
1992-1993,The Last Yankee,Leroy Hamilton,Young Vic Theatre and Duke of York 's Theatre
1994,An Absolute Turkey,Valetin,Gielgud Theatre
