Season,Event type,Location,Format,Date,Rank
1999-00,Nationals,Netherlands,Standard and Booster Draft,2000,5
2000-01,Grand Prix,Cologne,Limited,24-25 February 2001,6
2000-01,Nationals,Netherlands,Standard and Booster Draft,2001,3
2001-02,Masters,Osaka,Team Limited,14-17 March 2002,3
2003-04,Grand Prix,London,Block Constructed,22-24 August 2003,8
2003-04,Grand Prix,Birmingham,Booster Draft,27-28 March 2004,3
2003-04,Grand Prix,Zürich,Booster Draft,26-27 June 2004,4
2005,Pro Tour,Nagoya,Rochester Draft,28-30 January 2005,6
2005,Grand Prix,Salt Lake City,Block Constructed,27-28 August 2005,5
2005,Grand Prix,Mexico City,Block Constructed,3-4 September 2005,3
2005,Worlds,Yokohama,Standard and Booster Draft,30 November-4 December 2005,2
2006,Nationals,Netherlands,Standard and Booster Draft,8-10 September 2006,5
2008,Nationals,Netherlands,Standard and Booster Draft,15-17 August 2008,4
2008,Worlds,"Memphis , Tennessee",Standard and Booster Draft,11-14 December 2008,7
2016-17,Grand Prix,Rotterdam,Team Limited,12-13 November 2016,2
