Date,Name,Nat,Moving from,Moving to,Fee
2008-09-06,Álvaro Recoba,Uruguay,Internazionale,Panionios,Free
2008-09-09,Cristiano Lupatelli,Italy,Fiorentina,Cagliari,Free
2008-09-14,Thiago Motta,Brazil,Atlético Madrid,Genoa,Free
2008-09-16,Fabio Gatti,Italy,Modena,Perugia,Free
2008-09-18,Gaetano Grieco,Italy,Napoli,Juve Stabia,Free
2008-09-18,Marco Capparella,Italy,Napoli,Juve Stabia,Free
2008-09-22,Paolo Castelli,Italy,Lucchese,Modena,Free
2008-09-26,Alessandro Doga,Italy,Mantova,Arezzo,Free
2008-10-03,Emanuele Manitta,Italy,Unattached,Siena,Free
2008-10-09,Jess Vanstrattan,Australia,Verona,Gold Coast United,Free
2008-10-14,Diego Tristán,Spain,Livorno,West Ham United,Free
2008-10-16,Pedro Oliveira,Portugal,CFR Cluj,Modena,Free
2008-10-24,Antonio Ghomsi,Cameroon,Juve Stabia,Avellino,Free
