Club,League,Sport,Venue,Established,Capacity
Valencia CF,La Liga,Football,Mestalla,1919,"49,000"
Levante UD,La Liga,Football,Estadi Ciutat de València,1909,"25,354"
Valencia CF Mestalla,Segunda División B,Football,Estadi Antonio Puchades,1944,"4,000"
Valencia Basket Club,ACB,Basketball,Pavelló Municipal Font de Sant Lluís,1986,"9,000"
Valencia Giants,LNFA,American football,Instalacions polideportives del Saler,2003,
Valencia Firebats,LNFA,American football,Estadi Municipal Jardí del Turia,1993,
Valencia FS,Tercera División,Futsal,San Isidro,1983,500
Les Abelles,División de Honor B,Rugby Union,Poliesportiu Quatre carreres,1971,500
CAU Rugby Valencia,División de Honor B,Rugby Union,Camp del Riu Turia,1973,750
Rugby Club Valencia,División de Honor B,Rugby Union,Poliesportiu Quatre carreres,1966,500
