City,Japanese,Prefecture,Population ( 2010 )
Special wards of Tokyo,東京特別区,Tokyo,"8,949,447"
Yokohama,横浜,Kanagawa,"3,689,603"
Osaka,大阪,Osaka,"2,666,371"
Nagoya,名古屋,Aichi,"2,263,907"
Sapporo,札幌,Hokkaido,"1,914,434"
Kobe,神戸,Hyōgo,"1,544,873"
Kyoto,京都,Kyoto,"1,474,473"
Fukuoka,福岡,Fukuoka,"1,463,826"
Kawasaki,川崎,Kanagawa,"1,425,678"
Saitama,さいたま,Saitama,"1,222,910"
Hiroshima,広島,Hiroshima,"1,174,209"
Sendai,仙台,Miyagi,"1,045,903"
Kitakyushu,北九州,Fukuoka,"977,288"
Chiba,千葉,Chiba,"962,130"
Sakai,堺,Osaka,"842,134"
Niigata,新潟,Niigata,"812,192"
Hamamatsu,浜松,Shizuoka,"800,912"
Kumamoto,熊本,Kumamoto,"734,294"
Sagamihara,相模原,Kanagawa,"717,561"
Shizuoka,静岡,Shizuoka,"716,328"
