Year,Title,Role
1993,The Crush,Darian/Adrian Forrester
1995,Le Nouveau monde,Trudy Wadd
1995,Hideaway,Regina Harrison
1995,Clueless,Cher Horowitz
1995,The Babysitter,Jennifer
1996,True Crime,Mary Giordano
1997,Batman & Robin,Barbara Wilson / Batgirl
1997,Excess Baggage,Emily Hope
1999,Blast from the Past,Eve Rustikoff
2000,Love 's Labour 's Lost,The Princess of France
2002,Global Heresy,Natalie Nat Bevin
2003,Scorched,Sheila Rio
2004,Scooby-Doo 2 : Monsters Unleashed,Heather Jasper Howe
2005,Beauty Shop,Lynn
2005,Silence Becomes You,Violet
2006,Stormbreaker,Jack Starbright
2008,Tropic Thunder,Herself
2011,The Art of Getting By,Ms. Herman
2011,Butter,Jill Emmet
2012,Vamps,Goody
