Year,Recipient,Team,Position
1986,Peter Sterling,Parramatta Eels,Halfback
1987,Cliff Lyons,Manly-Warringah Sea Eagles,Five-eighth
1988,Paul Dunn,Canterbury-Bankstown Bulldogs,Prop
1989,Bradley Clyde,Canberra Raiders,Lock
1990,Ricky Stuart,Canberra Raiders,Halfback
1991,Bradley Clyde,Canberra Raiders ( losing team ),Lock
1992,Allan Langer,Brisbane Broncos,Halfback
1993,Brad Mackay,St George Dragons ( losing team ),Lock
1994,David Furner,Canberra Raiders,Second-row
1995,Jim Dymock,Sydney Bulldogs,Lock
1996,Geoff Toovey,Manly-Warringah Sea Eagles,Halfback
1997,Robbie O'Davis,Newcastle Knights,Fullback
1998,Gorden Tallis,Brisbane Broncos,Second-row
1999,Brett Kimmorley,Melbourne Storm,Halfback
2000,Darren Lockyer,Brisbane Broncos,Fullback
2001,Andrew Johns,Newcastle Knights,Halfback
2002,Craig Fitzgibbon,Sydney Roosters,Second-row
2003,Luke Priddis,Penrith Panthers,Hooker
2004,Willie Mason,Bulldogs,Prop
2005,Scott Prince,Wests Tigers,Halfback
