Position,Player,From club,Fee
D/DMC,Muhammad Shukor Adan,ATM,align=right| 0
GK,Mohd Farizal Harun,ATM,align=right| 0
GK,Mohd Fairul Azwan Shahrullai,Selangor FA,align=right| 0
GK,Mohd Soffuan Tawil,Putrajaya SPA F.C,align=right| 0
AMLC/ST,Indra Putra Mahayuddin,Kelantan,align=right| 0
ST,Mohd Haris Safwan Mohd Kamal,Kelantan,align=right| 0
AMC,Zah Rahan Krangar,Persipura Jayapura,align=right| 0
DC,Mohd Nasriq Baharom,Selangor,align=right| 0
AMR,Solehin Kanasian Abdullah,Selangor,align=right| 0
D/ML,Adib Aizuddin Abdul Latif,Selangor,align=right| 0
MC,Mohd Syahid Zaidon,Harimau Muda A,align=right| 0
Head Coach,Irfan Bakti Abu Salim,Selangor,align=right| 0
AMRC/ST,Shahurain Abu Samah,Negeri Sembilan FA,align=right| 0
DC,Yaroslav Krushelnitskiy,FC Shurtan Guzar,align=right| 0
DR,Qhairul Anwar Roslani,Terengganu FA,align=right| 0
DRL,Hasni Zaidi Jamian,Johor FA,align=right| 0
DL,Mohd Aizul Ridzwan Razali,T-Team F.C,align=right| 0
D/MC,Mohd Khairul Ismail,Johor FA,align=right| 0
MC,Shahrulnizam Mustapa,Perak FA,align=right| 0
AML/ST,Ahmad Syamim Yahya,T-Team FC,align=right| 0
