#,Artist,Artist 's nationality,Title
1,Israel Kamakawiwoʻole,United States,Over the Rainbow
2,Shakira featuring Freshlyground,Colombia South Africa,Waka Waka ( This Time for Africa )
3,Lena,Germany,Satellite
4,Unheilig,Germany,Geboren um zu leben
5,Yolanda Be Cool & DCUP,Australia,We No Speak Americano
6,K'naan,Canada,Wavin ' Flag
7,Stromae,Belgium,Alors on danse
8,Hurts,United Kingdom,Wonderful Life
9,Keri Hilson,United States,I Like
10,Kesha,United States,Tik Tok
11,Eminem featuring Rihanna,United States Barbados,Love the Way You Lie
12,Madcon,Norway,Glow
13,Mehrzad Marashi,Germany,Do n't Believe
14,Velile & Safri Duo,South Africa Denmark,Helele
15,Edward Maya featuring Vika Jigulina,Romania,Stereo Love
16,Empire of the Sun,Australia,We Are the People
17,Lady Gaga,United States,Bad Romance
18,Rihanna,Barbados,Only Girl ( In the World )
19,Lady Gaga,United States,Alejandro
20,Katy Perry featuring Snoop Dogg,United States,California Gurls
