Rank,Country,Team,Time
1,Kenya,Wilson Kiprop Sammy Kitwara Silas Kipruto,3:01:32
2,Eritrea,Zersenay Tadese Samuel Tsegay Tewelde Estifanos,3:03:04
3,Ethiopia,Lelisa Desisa Birhanu Bekele Asefa Mengstu,3:05:26
4,Japan,Tomoya Onishi Tsuyoshi Ugachi Masato Imai,3:06:48
5,South Africa,Lungisa Mdedelwa Samuel Segoaba Moorosi Soke,3:09:53
6,United States,Sean Quigley Antonio Vega Andrew Carlson,3:12:38
7,France,Ruben Iindongo Djamel Bachiri Driss El-Himer,3:13:07
8,Peru,John Cusi Jaime Caldua Constantino León,3:15:12
9,Spain,Rachid Nadij José Ríos Pedro Santos,3:16:04
10,China,Yang Dinghong Li Fei Gao Laiyuan,3:20:58
11,Botswana,Boiphemelo Selagaboy Kelebonye Simbowa Ndabili Bashingili,3:21:59
