Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Aktobe,Vladimir Mukhanov,Samat Smakov,adidas,-
Astana,Miroslav Beránek,Nurbol Zhumaskaliyev,adidas,Qazaqstan Temir Zholy
Atyrau,Yuriy Konkov,Andrei Travin,adidas,
Irtysh,Talgat Baisufinov,David Loria,Nike,ENRC
Kairat,José Pérez Serer,Ruslan Baltiev,adidas,KazRosGaz
Kaisar,Vladimir Nikitenko,Borut Semler,adidas,-
Okzhetpes,Vladimir Cheburin,,Umbro,-
Ordabasy,Viktor Pasulko,Kairat Ashirbekov,adidas,-
Shakhter,Viktor Kumykov,Andrey Finonchenko,Umbro,ArcelorMittal
Taraz,Ljupko Petrović,Nurtas Kurgulin,Nike,-
Tobol,Vyacheslav Grozny,Aleksandr Petukhov,Erreà,-
Zhetysu,Slobodan Krčmarević,,Nike,-
