Joint task force,Abbrev,Who
Joint Task Force-Alaska,JTF-AK,US
Joint Task Force-Armed Forces Inaugural Committee,JTF-AFIC,US
Joint Task Force Aztec Silence,,US
Joint Task Force Bravo,JTF-B,US
Joint Task Force Caring Response,,US
Joint Task Force Central,,CAN
Joint Task Force-Civil Support,JTF-CS,US
Joint Task Force East,,US
Joint Task Force for Elimination,JTF-E,US
Joint Task Force Full Accounting,,US
Joint Task Force Gator,,US
Joint Task Force-Global Network Operations,JTF-GNO,US
Joint Task Force Gold,JTF Gold,AUS
Joint Task Force Guantanamo,JTF-GTMO,US
Joint Task Force Haiti,,US
Joint Task Force-Homeland Defense,JTF-HD,US
Combined Joint Task Force - Horn of Africa,CJTF-HOA,US
Joint Task Force Katrina,,US
Joint Task Force Lebanon,JTF-L,US
Joint Task Force Liberia,JTF Liberia,US
