Games,Gold,Silver,Bronze
1951 New Delhi,Singapore ( SIN ) Wiebe Wolters Lionel Chee Barry Mitchell Neo Chwee Kok,Philippines ( PHI ) Nurhatab Rajab Mohammad Mala Serafin Villanueva Sotero Alcantara,India ( IND ) Isaac Mansoor Bimal Chandra Sambhu Saha Sachin Nag
1970 Bangkok,Japan ( JPN ) Shojiro Sawa Kunihiro Iwasaki Noboru Waseda Satoshi Maruya,Philippines ( PHI ) Dae Imlani Carlos Brosas Kemalpasa Umih Jairulla Jaitulla,Khmer Republic ( KHM ) Eat Kim Heng Tieng Sok Prak Samnang Tan Bunthay
1974 Tehran,Japan ( JPN ) Shinya Izumi Yukio Horiuchi Jiro Sasaki Akira Iida,China ( CHN ),Philippines ( PHI ) Dae Imlani Edwin Borja Gerardo Rosario Sukarno Maut
1978 Bangkok,Japan ( JPN ) Hiroshi Sakamoto Shinya Izumi Shigeki Yamazaki Tsuyoshi Yanagidate,China ( CHN ) Cui Fang Huang Guangliang Mo Zhengjie Zhong Guiyu,Indonesia ( INA ) Gerald Item Dwi Widjayanto John David Item Kristiono Sumono
1982 New Delhi,China ( CHN ) Huang Guohua Huang Guangliang Wan Qiang Li Zhongyi,Japan ( JPN ) Satoshi Sumida Takuya Osumi Ikuhiro Terashita Taihei Saka,Indonesia ( INA ) Zain Chaidir John David Item Gerald Item Lukman Niode
1986 Seoul,China ( CHN ) Shen Jianqiang Yang Qing Mu Lati Feng Qiangbiao,Japan ( JPN ) Keisuke Okuno Shigeo Ogata Hiroshi Miura Katsunori Fujiwara,Singapore ( SIN ) Ang Peng Siong David Lim Tay Khoon Hean Oon Jin Gee
1990 Beijing,China ( CHN ) Xie Jun Feng Qiangbiao Wang Dali Shen Jianqiang,Japan ( JPN ) Masakatsu Usami Ken Nakazawa Hidetoshi Yamanaka Katsunori Fujiwara,Singapore ( SIN ) Ang Peng Siong Harold Gan David Lim Kenneth Yeo
1994 Hiroshima,Japan ( JPN ) Hiroshi Fukuda Makio Endo Masakatsu Usami Yukihiro Matsushita,Kazakhstan ( KAZ ) Alexey Khovrin Alexey Yegorov Sergey Ushkalov Sergey Borisenko,Uzbekistan ( UZB ) Oleg Tsvetkovskiy Vyacheslav Kabanov Oleg Pukhnatiy Aleksandr Agafonov
1998 Bangkok,Japan ( JPN ) Hirosuke Hamano Shunsuke Ito Tomohiro Yamanoi Shusuke Ito,China ( CHN ) Wang Chuan Deng Qingsong Zhang Qiang Zhao Lifeng,Kazakhstan ( KAZ ) Igor Sitnikov Sergey Borisenko Pavel Sidorov Andrey Kvassov
2002 Busan,China ( CHN ) Huang Shaohua Jin Hao Chen Zuo Liu Yu,Japan ( JPN ) Naoki Nagura Yoshihiro Okumura Daisuke Hosokawa Hiroaki Akebe,South Korea ( KOR ) Sung Min Koh Yun-ho Kim Min-suk Han Kyu-chul
2006 Doha,Japan ( JPN ) Takamitsu Kojima Hiroaki Yamamoto Makoto Ito Daisuke Hosokawa,China ( CHN ) Huang Shaohua Chen Zuo Cai Li Qu Jingyu,South Korea ( KOR ) Han Kyu-chul Sung Min Lim Nam-gyun Park Tae-hwan
2010 Guangzhou,China ( CHN ) Shi Tengfei Jiang Haiqi Shi Runqiang Lü Zhiwu Chen Zuo Liu Junwu,Japan ( JPN ) Takuro Fujii Rammaru Harada Shunsuke Kuzuhara Sho Uchida Yuki Kobori Yoshihiro Okumura,South Korea ( KOR ) Kim Yong-sik Bae Joon-mo Park Seon-kwan Park Tae-hwan Jung Won-yong Kim Min-gyu Lee Hyun-seung Park Min-kyu
2014 Incheon,China ( CHN ) Yu Hexin Lin Yongqing Sun Yang Ning Zetao Hao Yun Xu Qiheng Liu Junwu,Japan ( JPN ) Shinri Shioura Rammaru Harada Takuro Fujii Katsumi Nakamura Kenta Ito,Hong Kong ( HKG ) Geoffrey Cheah Jeremy Wong Derick Ng Kent Cheung Raymond Mak David Wong
2018 Jakarta-Palembang,Japan ( JPN ) Shinri Shioura Katsuhiro Matsumoto Katsumi Nakamura Juran Mizohata,China ( CHN ) Yang Jintong Cao Jiwen Sun Yang Yu Hexin Hou Yujie Qian Zhiyong Ma Tianchi Ji Xinjie,Singapore ( SGP ) Quah Zheng Wen Joseph Schooling Darren Chua Darren Lim Danny Yeo Jonathan Tan
