Nominee,Home State,1st,2nd,3rd,3rd corrected
William H. Seward,New York,173.5,184.5,180,111.5
Abraham Lincoln,Illinois,102,181,231.5,349
Simon Cameron,Pennsylvania,50.5,2,0,0
Salmon P. Chase,Ohio,49,42.5,24.5,2
Edward Bates,Missouri,48,35,22,0
William L. Dayton,New Jersey,14,10,1,1
John McLean,Ohio,12,8,5,0.5
Jacob Collamer,Vermont,10,0,-,-
Benjamin F. Wade,Ohio,3,0,-,-
John M. Read,Pennsylvania,1,0,-,-
Charles Sumner,Massachusetts,1,0,-,-
John C. Fremont,California,1,0,-,-
Cassius M. Clay,Kentucky,-,2,1,1
