Station,Location,Capacity ( MW ),Notes
Guddo Thermal Power Plant,"Guddu , Sindh","2,402",Combined Cycle Power Plant
Fauji Foundation Power Company Daharki Ltd,"Daharki , Sindh",185,Combined Cycle Power Plant
"Uch-I , II Power Plant","Dera Murad Jamali , Balochistan",1000,Combined Cycle Power Plant
Nandipur Power Project,"Gujranwala , Punjab",425,Combined Cycle Power Plant
Habibullah Coastal Power Pvt Company,"Quetta , Balochistan",140,Combined Cycle Power Plant
WAPDA Quetta Thermal Power Station,"Quetta , Balochistan",35,Combined Cycle Power Plant
Liberty Power Project,"Daharki , Sindh",235,Combined Cycle Power Plant
Rousch ( Pakistan ) Power Limited,"Abdul Hakeem , Pakistan , Punjab",450,Combined Cycle Power Plant
Engro Powergen Qadirpur Ltd,"Ghotki , Sindh",227,Combined Cycle Power Plant
Halmore Power Generation Company Ltd,"Sheikhupura , Punjab",225,Combined Cycle Power Plant
Orient Power Company Ltd,"Kasur , Punjab",229,Combined Cycle Power Plant
Saif Power Limited,"Sahiwal , Punjab",229,Combined Cycle Power Plant
Bin Qasim Power Plant II,"Karachi , Sindh",560,Combined Cycle Power Plant
Fauji Kabirwala Power Company,"Kabirwala , Punjab",157,Combined Cycle Power Plant
Sapphire Electric Company Ltd,"Muridke , Punjab",234,Combined Cycle Power Plant
Sindh Nooriabad Power Company Pvt Ltd,"Jamshoro , Sindh",100,Combined Cycle Power Plant
Haveli Bahadur Shah Power Plant,"Jhang , Punjab","1,230",Combined Cycle Power Plant
Bhikki RLNG-based Power Project,"Sheikhupura , Punjab","1,180",Combined Cycle Power Plant
Balloki Power Plant,"Balloki , Punjab","1,223",Combined Cycle Power Plant
Altern Energy Ltd,"Fateh Jang , Punjab",32,Combined Cycle Power Plant
