Title,Director,Year,First showing
"Beats , Rhymes & Life : The Travels of a Tribe Called Quest",Michael Rapaport,2011,January 22
Being Elmo : A Puppeteer 's Journey,Constance Marks,2011,January 23
Buck,Cindy Meehl,2010,January 21
"Connected : An Autoblogography About Love , Death & Technology",Tiffany Shlain,2011,January 21
Crime After Crime,Yoav Potash,2011,January 23
Hot Coffee,Susan Saladoff,2010,January 24
How to Die in Oregon,Peter D. Richardson,2010,January 23
If a Tree Falls : A Story of the Earth Liberation Front,Marshall Curry,2011,January 21
The Last Mountain,Bill Haney,2011,January 21
Miss Representation,Jennifer Siebel Newsom,2011,January 22
Page One : A Year Inside the New York Times,Andrew Rossi,2010,January 23
The Redemption of General Butt Naked,"Eric Strauss , Daniele Anastasion",2010,January 22
Resurrect Dead : The Mystery of the Toynbee Tiles,Jon Foy,2011,January 24
Sing Your Song,Susanne Rostock,2011,January 20
Troubadours,Morgan Neville,2010,January 22
We Were Here,David Weissman,2010,January 22
