Call letters,Channel,Network ( s ),City and state
KFBB-TV,8 PSIP 5,5.1 ABC 5.2 Fox / MyNetworkTV,"Great Falls , Montana"
KFCT,21 PSIP 22,Fox,"Fort Collins , Colorado"
KFDA-TV,10 PSIP,10.1 CBS 10.4 LATV,"Amarillo , Texas"
KFDM,15 PSIP 6,6.1 CBS 25.2 The CW,"Beaumont , Texas"
KFDX-TV,28 PSIP 3,3.1 NBC 35.2 KJBO-LP,"Wichita Falls , Texas"
KFFV,44 PSIP 45,Infomercials,"Seattle , Washington"
KFFX-TV,11 PSIP 11,Fox,"Pendleton , Oregon"
KFJX,13 PSIP 14,Fox,"Pittsburg , Kansas"
KFMB-TV,8 PSIP 8,8.1 CBS 8.2 MeTV,"San Diego , California"
KFME,13 PSIP 13,PBS,"Fargo , North Dakota"
KFNB,20 PSIP 20,Fox,"Casper , Wyoming"
KFNE,10 PSIP 10,Fox,"Riverton , Wyoming"
KFNR,9 PSIP 11,Fox,"Rawlins , Wyoming"
KFOR-TV,27 PSIP/cable 4,NBC,"Oklahoma City , Oklahoma"
KFOX-TV,15 PSIP 14,Fox,"El Paso , Texas"
KFPH-DT,13 PSIP 13,UniMas,"Flagstaff , Arizona"
KFPX-TV,36 PSIP 39,ION Television,"Newton , Iowa"
KFQX,15 PSIP 4,Fox,"Grand Junction , Colorado"
KFRE-TV,36 PSIP 59,The CW,"Sanger , California"
KFSF-DT,34 PSIP 66,UniMas,"Vallejo , California"
